,END,Phase,Block,TrialN,NbackLevel,ISI,Letter_Resp,Letter_RT,Letter_Accuracy,Trial_A_measure,Trial_ACC,Trial_RT,TrialCountCali,CaliEnd_A_measure,ISI_calibrated,TrialIndex,TrialNumber_total,TrialNumber_valid,CueLearning,TrialDemandLearning,CueMapping,OfflineRatingTimePoint,CueFigure,TrialDemand,OfflineRating,OfflineRatingRT,PhaseType,CueLeft,CueDemandLeft,CueRight,CueDemandRight,Choice,ChoiceDemand,TaskDemand,ChoiceRT,CueCheck,CueDemandCheck,CorrectAnswer,Answer,AnswerDemand,AnswerRT,AnswerACC,DemandRatingQuesIndex,QuesTLX,DemandLevel,DemandRating,DemandRatingRT,PID,Age,Gender,Task_A_measure,Task_ACC,Task_RT,cue_i_on_zyg_values,cue_i_on_zyg_zvalues,cue_e_on_zyg_values,cue_e_on_zyg_zvalues,cue_i_on_cor_values,cue_i_on_cor_zvalues,cue_e_on_cor_values,cue_e_on_cor_zvalues,cue_i_on_scr_values,cue_i_on_scr_zvalues,cue_e_on_scr_values,cue_e_on_scr_zvalues,BAI_bis,BAI_bas_d,BAI_bas_rr,BAI_bas_fs,NFC,BFI_ext,BFI_agr,BFI_con,BFI_neu,BFI_open,UPPS_lps,UPPS_lpm,UPPS_pu,UPPS_ss,cue_e_true_zyg_values,cue_e_true_zyg_zvalues,cue_e_true_cor_values,cue_e_true_cor_zvalues,cue_e_true_scr_values,cue_e_true_scr_zvalues,cue_i_off_zyg_values,cue_i_off_zyg_zvalues,cue_i_off_cor_values,cue_i_off_cor_zvalues,cue_i_off_scr_values,cue_i_off_scr_zvalues
0,240615_093800,LEARNING,1.0,1,1.0,202.0,,,,,,,,,,1.0,1.0,1.0,cue2.png,Easy,B,,,,,,,,,,,,,,,,,,,,,,,,,,,14,34,Female,1.0,1.0,0.4086369904717208,0.00013524207994013463,-0.12425508924761978,4.6656049236989006e-05,0.10973198384195466,-2.9586979231791422e-05,-0.6159612473649578,0.0002427098323147898,0.5528378311503962,,,1.4100000000000001,0.11277405100539939,0.7142857142857143,1.75,0.2,1.75,1.1111111111111112,2.5,2.2222222222222223,2.6666666666666665,3.0,1.5555555555555556,2.0,1.75,2.0,2.75,,,,,,,,,,,,
1,240615_093832,LEARNING,1.0,2,3.0,202.0,,,,,,,,,,2.0,2.0,2.0,cue1.png,Hard,B,,,,,,,,,,,,,,,,,,,,,,,,,,,14,34,Female,0.6428571428571429,0.4047619047619047,0.3966158000053837,-0.0001351668676921611,-0.39676836933417725,-5.8441023197890445e-05,-0.029037770796967823,-0.00010206445694768435,-0.8077595625598927,-0.0002742468125754853,-0.6570639981518571,1.462,0.041985022213139996,1.449,0.190954132073134,0.7142857142857143,1.75,0.2,1.75,1.1111111111111112,2.5,2.2222222222222223,2.6666666666666665,3.0,1.5555555555555556,2.0,1.75,2.0,2.75,,,,,,,,,,,,
2,240615_093902,LEARNING,1.0,3,1.0,202.0,,,,,,,,,,3.0,3.0,3.0,cue2.png,Easy,B,,,,,,,,,,,,,,,,,,,,,,,,,,,14,34,Female,1.0,1.0,0.4090708666675103,-3.2144954542870537e-06,-0.2637891388442066,-0.0004951145392815739,-0.6056197371671125,-0.00024034463472299853,-1.173692621463039,0.00024778532932400853,0.5647166863247508,1.139,-0.5036295493899369,1.1390000000000002,-0.4304772815421933,0.7142857142857143,1.75,0.2,1.75,1.1111111111111112,2.5,2.2222222222222223,2.6666666666666665,3.0,1.5555555555555556,2.0,1.75,2.0,2.75,,,,,,,,,,,,
3,240615_093933,LEARNING,1.0,4,3.0,202.0,,,,,,,,,,4.0,4.0,4.0,cue1.png,Hard,B,,,,,,,,,,,,,,,,,,,,,,,,,,,14,34,Female,0.6607142857142857,0.5714285714285715,0.357322973315604,-9.345609898172777e-06,-0.2699679658479689,-2.532753455549222e-06,0.044783285248514826,0.00048009393153031297,0.7328155458119312,5.8659585300796947e-05,0.12208075945625764,1.593,0.2632714274143879,1.5859999999999999,0.46558672454184286,0.7142857142857143,1.75,0.2,1.75,1.1111111111111112,2.5,2.2222222222222223,2.6666666666666665,3.0,1.5555555555555556,2.0,1.75,2.0,2.75,,,,,,,,,,,,
4,240615_094004,LEARNING,1.0,5,3.0,202.0,,,,,,,,,,5.0,5.0,5.0,cue1.png,Hard,B,,,,,,,,,,,,,,,,,,,,,,,,,,,14,34,Female,0.1666666666666666,0.4285714285714286,0.4068360749988642,-4.475632302286493e-05,-0.30565424645483685,0.00016351569409860664,0.2640329921282365,-0.00011846890312646775,-0.8511709123743841,6.23306242670818e-05,0.1306725762065591,1.5719999999999998,0.22779803421418765,1.568,0.4295036102028888,0.7142857142857143,1.75,0.2,1.75,1.1111111111111112,2.5,2.2222222222222223,2.6666666666666665,3.0,1.5555555555555556,2.0,1.75,2.0,2.75,,,,,,,,,,,,
5,240615_094035,LEARNING,1.0,6,1.0,202.0,,,,,,,,,,6.0,6.0,6.0,cue2.png,Easy,B,,,,,,,,,,,,,,,,,,,,,,,,,,,14,34,Female,1.0,1.0,0.4825622809529748,-0.00012575810394369839,-0.38728638623745065,-0.0001140206734837842,-0.10242491902480838,0.000160890433374734,-0.11189780625253408,-0.00023276172901712548,-0.5599709846813177,-0.00550000000000006,-2.4369294788008395,,,0.7142857142857143,1.75,0.2,1.75,1.1111111111111112,2.5,2.2222222222222223,2.6666666666666665,3.0,1.5555555555555556,2.0,1.75,2.0,2.75,,,,,,,,,,,,
6,240615_094106,LEARNING,1.0,7,3.0,202.0,,,,,,,,,,7.0,7.0,7.0,cue1.png,Hard,B,,,,,,,,,,,,,,,,,,,,,,,,,,,14,34,Female,0.5583333333333333,0.3904761904761905,0.2583538090958344,-0.00017206859733726217,-0.4339572696072864,-0.0001556320744521473,-0.15736844664913419,6.33737156468259e-05,-0.3699578650872177,-0.0006665852658205868,-1.5753054347961597,1.449,0.020025302613016323,2.2190000000000003,1.7345095787950773,0.7142857142857143,1.75,0.2,1.75,1.1111111111111112,2.5,2.2222222222222223,2.6666666666666665,3.0,1.5555555555555556,2.0,1.75,2.0,2.75,,,,,,,,,,,,
7,240615_094137,LEARNING,1.0,8,3.0,202.0,,,,,,,,,,8.0,8.0,8.0,cue1.png,Hard,B,,,,,,,,,,,,,,,,,,,,,,,,,,,14,34,Female,0.6333333333333333,0.6571428571428573,0.4266513722314913,-2.1215046762592706e-05,-0.2819297711100558,3.583755062880247e-05,0.0954472814935634,,,8.197988025393857e-05,0.17666032198352313,,,,,0.7142857142857143,1.75,0.2,1.75,1.1111111111111112,2.5,2.2222222222222223,2.6666666666666665,3.0,1.5555555555555556,2.0,1.75,2.0,2.75,,,,,,,,,,,,
8,240615_094207,LEARNING,1.0,9,1.0,202.0,,,,,,,,,,9.0,9.0,9.0,cue2.png,Easy,B,,,,,,,,,,,,,,,,,,,,,,,,,,,14,34,Female,0.9305555555555556,0.8857142857142857,0.4081883200036827,6.5357558325725325e-06,-0.2539630107404007,-1.763105272141333e-05,0.024847551207138822,-0.00021620219547712274,-1.1098040961171898,0.00013321454832720915,0.29657157419056474,,,,,0.7142857142857143,1.75,0.2,1.75,1.1111111111111112,2.5,2.2222222222222223,2.6666666666666665,3.0,1.5555555555555556,2.0,1.75,2.0,2.75,,,,,,,,,,,,
9,240615_094235,LEARNING,1.0,10,1.0,202.0,,,,,,,,,,10.0,10.0,10.0,cue2.png,Easy,B,,,,,,,,,,,,,,,,,,,,,,,,,,,14,34,Female,0.8903061224489796,0.8809523809523809,0.3448010600084671,-0.00018325114266392684,-0.44522683791620893,-0.00011215165852334653,-0.09995707913671714,0.0003145023571501835,0.29460789872626075,-7.802433519383872e-05,-0.19781865005373012,1.44,0.004822419812930386,1.4300000000000002,0.15286640027090442,0.7142857142857143,1.75,0.2,1.75,1.1111111111111112,2.5,2.2222222222222223,2.6666666666666665,3.0,1.5555555555555556,2.0,1.75,2.0,2.75,,,,,,,,,,,,
10,240615_094309,LEARNING,1.0,11,3.0,202.0,,,,,,,,,,11.0,11.0,11.0,cue1.png,Hard,B,,,,,,,,,,,,,,,,,,,,,,,,,,,14,34,Female,0.8443877551020408,0.6428571428571429,0.5227611133401903,-6.388446450162483e-05,-0.3249312438396454,-6.208356868733821e-05,-0.03384737331130031,0.0004971805450684971,0.7780321260833506,2.5583658607551338e-05,0.044668805073663116,,,,,0.7142857142857143,1.75,0.2,1.75,1.1111111111111112,2.5,2.2222222222222223,2.6666666666666665,3.0,1.5555555555555556,2.0,1.75,2.0,2.75,,,,,,,,,,,,
11,240615_094338,LEARNING,1.0,12,1.0,202.0,,,,,,,,,,12.0,12.0,12.0,cue2.png,Easy,B,,,,,,,,,,,,,,,,,,,,,,,,,,,14,34,Female,1.0,1.0,0.4000982761942959,,,,,0.0013059245584526005,2.9182244186339354,,,,,1.089,-0.5307081547059563,0.7142857142857143,1.75,0.2,1.75,1.1111111111111112,2.5,2.2222222222222223,2.6666666666666665,3.0,1.5555555555555556,2.0,1.75,2.0,2.75,,,,,,,,,,,,
12,240615_094408,LEARNING,1.0,13,1.0,202.0,,,,,,,,,,13.0,13.0,13.0,cue2.png,Easy,B,,,,,,,,,,,,,,,,,,,,,,,,,,,14,34,Female,1.0,0.9523809523809524,0.4050632150028832,-0.00011222918504385539,-0.3736521847892257,0.0027979467739470726,3.7425252668797007,-0.0004987185231670674,-1.8574315988070285,0.0011820228817669034,2.751236068319413,,,,,0.7142857142857143,1.75,0.2,1.75,1.1111111111111112,2.5,2.2222222222222223,2.6666666666666665,3.0,1.5555555555555556,2.0,1.75,2.0,2.75,,,,,,,,,,,,
13,240615_094438,LEARNING,1.0,14,1.0,202.0,,,,,,,,,,14.0,14.0,14.0,cue2.png,Easy,B,,,,,,,,,,,,,,,,,,,,,,,,,,,14,34,Female,1.0,1.0,0.4168279333361646,5.2320336506902435e-05,-0.20782213276207487,2.49575253343042e-05,0.08108133955433085,5.5171840828000234e-05,-0.39166261836046207,0.00030031075420726243,0.6876488669617087,1.514,0.12982390061363544,,,0.7142857142857143,1.75,0.2,1.75,1.1111111111111112,2.5,2.2222222222222223,2.6666666666666665,3.0,1.5555555555555556,2.0,1.75,2.0,2.75,,,,,,,,,,,,
14,240615_094508,LEARNING,1.0,15,3.0,202.0,,,,,,,,,,15.0,15.0,15.0,cue1.png,Hard,B,,,,,,,,,,,,,,,,,,,,,,,,,,,14,34,Female,0.5,0.523809523809524,0.3232694071318422,0.0005928984292379738,0.33696275872531495,-0.0026649469842158447,-3.470657830189874,0.00020145557878167072,-0.004549609407351525,-0.000603867571932773,-1.4285189425157658,,,,,0.7142857142857143,1.75,0.2,1.75,1.1111111111111112,2.5,2.2222222222222223,2.6666666666666665,3.0,1.5555555555555556,2.0,1.75,2.0,2.75,,,,,,,,,,,,
