"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","date","PID","SONA","BAI1_filler","BAI2_bis","BAI3_bas_d","BAI4_bas_rr","BAI5_bas_fs","BAI6_filler","BAI7_bas_rr","BAI8_bis","BAI9_bas_d","BAI10_bas_fs","BAI11_filler","BAI12_bas_d","BAI13_bis","BAI14_bas_rr","BAI15_bas_fs","BAI16_bis","BAI17_filler","BAI18_bas_rr","BAI19_bis","BAI20_bas_fs","BAI21_bas_d","BAI22_bis","BAI23_bas_rr","BAI24_bis","NFC1","NFC2","NFC3","NFC4","NFC5","NFC6","NFC7","NFC8","NFC9","NFC10","NFC11","NFC12","NFC13","NFC14","NFC15","NFC16","NFC17","NFC18","BFI1_ext","BFI2_agr","BFI3_con","BFI4_neu","BFI5_open","BFI6_ext","BFI7_agr","BFI8_con","BFI9_neu","BFI10_open","BFI11_ext","BFI12_agr","BFI13_con","BFI14_neu","BFI15_open","BFI16_ext","BFI17_agr","BFI18_con","BFI19_neu","BFI20_open","BFI21_ext","BFI22_agr","BFI23_con","BFI24_neu","BFI25_open","BFI26_ext","BFI27_agr","BFI28_con","BFI29_neu","BFI30_bas_rr","BFI31_ext","BFI32_agr","BFI33_con","BFI34_neu","BFI35_open","BFI36_ext","BFI37_agr","BFI38_con","BFI39_neu","BFI40_open","BFI41_open","BFI42_agr","BFI43_con","BFI44_open","UPPS1_lps","UPPS2_lpm","UPPS3_pu","UPPS4_lps","UPPS5_lpm","UPPS6_nu","UPPS7_lps","UPPS8_nu","UPPS9_ss","UPPS10_pu","UPPS11_lps","UPPS12_lpm","UPPS13_nu","UPPS14_ss","UPPS15_nu","UPPS16_ss","UPPS17_pu","UPPS18_ss","UPPS19_lpm","UPPS20_pu","rt","responses","view_history","question_order","stimulus","key_press","npress"
"true","fullscreen","0","5922","0.0-0.0","oh4ttqj3z4","Fri Feb 16 2024 17:18:57 GMT-0500 (Eastern Standard Time)","64","159238","0","2","0","1","0","1","0","2","1","2","2","0","1","0","0","1","0","1","2","0","1","1","0","2","2","2","1","2","2","1","2","3","2","1","1","2","1","2","1","0","1","1","4","4","3","3","2","1","3","4","3","3","2","2","3","2","3","2","2","2","2","3","1","3","3","1","2","3","4","3","","2","1","3","2","2","2","4","3","2","2","2","0","2","3","0","2","1","2","1","2","1","1","0","0","1","2","1","0","1","0","3","2","1","1","1","","","","","","",""
"","survey-text","1","17362","0.0-1.0","oh4ttqj3z4","Fri Feb 16 2024 17:18:57 GMT-0500 (Eastern Standard Time)","64","159238","0","2","0","1","0","1","0","2","1","2","2","0","1","0","0","1","0","1","2","0","1","1","0","2","2","2","1","2","2","1","2","3","2","1","1","2","1","2","1","0","1","1","4","4","3","3","2","1","3","4","3","3","2","2","3","2","3","2","2","2","2","3","1","3","3","1","2","3","4","3","","2","1","3","2","2","2","4","3","2","2","2","0","2","3","0","2","1","2","1","2","1","1","0","0","1","2","1","0","1","0","3","2","1","1","1","11437.20000000298","{""PID"":""64"",""SONA"":""159238""}","","","","",""
"","instructions","2","29938","0.0-2.0","oh4ttqj3z4","Fri Feb 16 2024 17:18:57 GMT-0500 (Eastern Standard Time)","64","159238","0","2","0","1","0","1","0","2","1","2","2","0","1","0","0","1","0","1","2","0","1","1","0","2","2","2","1","2","2","1","2","3","2","1","1","2","1","2","1","0","1","1","4","4","3","3","2","1","3","4","3","3","2","2","3","2","3","2","2","2","2","3","1","3","3","1","2","3","4","3","","2","1","3","2","2","2","4","3","2","2","2","0","2","3","0","2","1","2","1","2","1","1","0","0","1","2","1","0","1","0","3","2","1","1","1","12575.09999999404","","[{""page_index"":0,""viewing_time"":12574.89999999106}]","","","",""
"","survey-likert","3","185851","0.0-3.0","oh4ttqj3z4","Fri Feb 16 2024 17:18:57 GMT-0500 (Eastern Standard Time)","64","159238","0","2","0","1","0","1","0","2","1","2","2","0","1","0","0","1","0","1","2","0","1","1","0","2","2","2","1","2","2","1","2","3","2","1","1","2","1","2","1","0","1","1","4","4","3","3","2","1","3","4","3","3","2","2","3","2","3","2","2","2","2","3","1","3","3","1","2","3","4","3","","2","1","3","2","2","2","4","3","2","2","2","0","2","3","0","2","1","2","1","2","1","1","0","0","1","2","1","0","1","0","3","2","1","1","1","155911.10000000894","{""BAI1"":0,""BAI2"":2,""BAI3"":0,""BAI4"":1,""BAI5"":0,""BAI6"":1,""BAI7"":0,""BAI8"":2,""BAI9"":1,""BAI10"":2,""BAI11"":2,""BAI12"":0,""BAI13"":1,""BAI14"":0,""BAI15"":0,""BAI16"":1,""BAI17"":0,""BAI18"":1,""BAI19"":2,""BAI20"":0,""BAI21"":1,""BAI22"":1,""BAI23"":0,""BAI24"":2}","","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23]","","",""
"","survey-likert","4","353955","0.0-4.0","oh4ttqj3z4","Fri Feb 16 2024 17:18:57 GMT-0500 (Eastern Standard Time)","64","159238","0","2","0","1","0","1","0","2","1","2","2","0","1","0","0","1","0","1","2","0","1","1","0","2","2","2","1","2","2","1","2","3","2","1","1","2","1","2","1","0","1","1","4","4","3","3","2","1","3","4","3","3","2","2","3","2","3","2","2","2","2","3","1","3","3","1","2","3","4","3","","2","1","3","2","2","2","4","3","2","2","2","0","2","3","0","2","1","2","1","2","1","1","0","0","1","2","1","0","1","0","3","2","1","1","1","168101.80000001192","{""NFC1"":2,""NFC2"":2,""NFC3"":1,""NFC4"":2,""NFC5"":2,""NFC6"":1,""NFC7"":2,""NFC8"":3,""NFC9"":2,""NFC10"":1,""NFC11"":1,""NFC12"":2,""NFC13"":1,""NFC14"":2,""NFC15"":1,""NFC16"":0,""NFC17"":1,""NFC18"":1}","","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18]","","",""
"","survey-likert","5","515235","0.0-5.0","oh4ttqj3z4","Fri Feb 16 2024 17:18:57 GMT-0500 (Eastern Standard Time)","64","159238","0","2","0","1","0","1","0","2","1","2","2","0","1","0","0","1","0","1","2","0","1","1","0","2","2","2","1","2","2","1","2","3","2","1","1","2","1","2","1","0","1","1","4","4","3","3","2","1","3","4","3","3","2","2","3","2","3","2","2","2","2","3","1","3","3","1","2","3","4","3","","2","1","3","2","2","2","4","3","2","2","2","0","2","3","0","2","1","2","1","2","1","1","0","0","1","2","1","0","1","0","3","2","1","1","1","161277.29999999702","{""BFI1"":4,""BFI2"":4,""BFI3"":3,""BFI4"":3,""BFI5"":2,""BFI6"":1,""BFI7"":3,""BFI8"":4,""BFI9"":3,""BFI10"":3,""BFI11"":2,""BFI12"":2,""BFI13"":3,""BFI14"":2,""BFI15"":3,""BFI16"":2,""BFI17"":2,""BFI18"":2,""BFI19"":2,""BFI20"":3,""BFI21"":1,""BFI22"":3,""BFI23"":3,""BFI24"":1,""BFI25"":2,""BFI26"":3,""BFI27"":4,""BFI28"":3,""BAI29"":4,""BFI30"":2,""BFI31"":1,""BFI32"":3,""BFI33"":2,""BFI34"":2,""BFI35"":2,""BFI36"":4,""BFI37"":3,""BFI38"":2,""BFI39"":2,""BFI40"":2,""BFI41"":0,""BFI42"":2,""BFI43"":3,""BFI44"":0}","","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43]","","",""
"","survey-likert","6","673778","0.0-6.0","oh4ttqj3z4","Fri Feb 16 2024 17:18:57 GMT-0500 (Eastern Standard Time)","64","159238","0","2","0","1","0","1","0","2","1","2","2","0","1","0","0","1","0","1","2","0","1","1","0","2","2","2","1","2","2","1","2","3","2","1","1","2","1","2","1","0","1","1","4","4","3","3","2","1","3","4","3","3","2","2","3","2","3","2","2","2","2","3","1","3","3","1","2","3","4","3","","2","1","3","2","2","2","4","3","2","2","2","0","2","3","0","2","1","2","1","2","1","1","0","0","1","2","1","0","1","0","3","2","1","1","1","158541.09999999404","{""UPPS1"":2,""UPPS2"":1,""UPPS3"":2,""UPPS4"":1,""UPPS5"":2,""UPPS6"":1,""UPPS7"":1,""UPPS8"":0,""UPPS9"":0,""UPPS10"":1,""UPPS11"":2,""UPPS12"":1,""UPPS13"":0,""UPPS14"":1,""UPPS15"":0,""UPPS16"":3,""UPPS17"":2,""UPPS18"":1,""UPPS19"":1,""UPPS20"":1}","","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19]","","",""
"","html-keyboard-response","7","694230","0.0-7.0","oh4ttqj3z4","Fri Feb 16 2024 17:18:57 GMT-0500 (Eastern Standard Time)","64","159238","0","2","0","1","0","1","0","2","1","2","2","0","1","0","0","1","0","1","2","0","1","1","0","2","2","2","1","2","2","1","2","3","2","1","1","2","1","2","1","0","1","1","4","4","3","3","2","1","3","4","3","3","2","2","3","2","3","2","2","2","2","3","1","3","3","1","2","3","4","3","","2","1","3","2","2","2","4","3","2","2","2","0","2","3","0","2","1","2","1","2","1","1","0","0","1","2","1","0","1","0","3","2","1","1","1","20420.10000000894","","","","Thank you for your participation! You are now finished the entire study. <br>              We will grant you 1.5 SONA credit shortly. <br>              <b> Please do not close this page. <br> Please inform your experimenter. <b> <br>             <br>  
       <b> EXPERIMENTER: PRESS ""SPACEBAR"" TO SAVE THE DATA <b>
             ","32","1"
