"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","date","PID","SONA","BAI1_filler","BAI2_bis","BAI3_bas_d","BAI4_bas_rr","BAI5_bas_fs","BAI6_filler","BAI7_bas_rr","BAI8_bis","BAI9_bas_d","BAI10_bas_fs","BAI11_filler","BAI12_bas_d","BAI13_bis","BAI14_bas_rr","BAI15_bas_fs","BAI16_bis","BAI17_filler","BAI18_bas_rr","BAI19_bis","BAI20_bas_fs","BAI21_bas_d","BAI22_bis","BAI23_bas_rr","BAI24_bis","NFC1","NFC2","NFC3","NFC4","NFC5","NFC6","NFC7","NFC8","NFC9","NFC10","NFC11","NFC12","NFC13","NFC14","NFC15","NFC16","NFC17","NFC18","BFI1_ext","BFI2_agr","BFI3_con","BFI4_neu","BFI5_open","BFI6_ext","BFI7_agr","BFI8_con","BFI9_neu","BFI10_open","BFI11_ext","BFI12_agr","BFI13_con","BFI14_neu","BFI15_open","BFI16_ext","BFI17_agr","BFI18_con","BFI19_neu","BFI20_open","BFI21_ext","BFI22_agr","BFI23_con","BFI24_neu","BFI25_open","BFI26_ext","BFI27_agr","BFI28_con","BFI29_neu","BFI30_bas_rr","BFI31_ext","BFI32_agr","BFI33_con","BFI34_neu","BFI35_open","BFI36_ext","BFI37_agr","BFI38_con","BFI39_neu","BFI40_open","BFI41_open","BFI42_agr","BFI43_con","BFI44_open","UPPS1_lps","UPPS2_lpm","UPPS3_pu","UPPS4_lps","UPPS5_lpm","UPPS6_nu","UPPS7_lps","UPPS8_nu","UPPS9_ss","UPPS10_pu","UPPS11_lps","UPPS12_lpm","UPPS13_nu","UPPS14_ss","UPPS15_nu","UPPS16_ss","UPPS17_pu","UPPS18_ss","UPPS19_lpm","UPPS20_pu","rt","responses","view_history","question_order","stimulus","key_press","npress"
"true","fullscreen","0","2522","0.0-0.0","f7oyqvecgm","Thu Feb 15 2024 14:23:09 GMT-0500 (Eastern Standard Time)","59","146092","2","2","1","0","0","0","1","2","2","0","0","2","2","1","1","1","0","0","1","0","1","0","0","1","3","4","1","2","1","2","2","4","4","3","4","1","3","0","2","3","1","2","4","4","4","0","1","0","3","2","3","3","2","3","3","1","3","4","4","1","1","3","2","4","2","1","2","4","2","2","","3","1","4","4","3","4","4","2","4","1","3","0","4","3","4","0","0","1","1","0","3","1","2","0","2","1","0","2","0","3","0","3","0","0","3","","","","","","",""
"","survey-text","1","33209","0.0-1.0","f7oyqvecgm","Thu Feb 15 2024 14:23:09 GMT-0500 (Eastern Standard Time)","59","146092","2","2","1","0","0","0","1","2","2","0","0","2","2","1","1","1","0","0","1","0","1","0","0","1","3","4","1","2","1","2","2","4","4","3","4","1","3","0","2","3","1","2","4","4","4","0","1","0","3","2","3","3","2","3","3","1","3","4","4","1","1","3","2","4","2","1","2","4","2","2","","3","1","4","4","3","4","4","2","4","1","3","0","4","3","4","0","0","1","1","0","3","1","2","0","2","1","0","2","0","3","0","3","0","0","3","30684.39999999851","{""PID"":""59"",""SONA"":""146092""}","","","","",""
"","instructions","2","41120","0.0-2.0","f7oyqvecgm","Thu Feb 15 2024 14:23:09 GMT-0500 (Eastern Standard Time)","59","146092","2","2","1","0","0","0","1","2","2","0","0","2","2","1","1","1","0","0","1","0","1","0","0","1","3","4","1","2","1","2","2","4","4","3","4","1","3","0","2","3","1","2","4","4","4","0","1","0","3","2","3","3","2","3","3","1","3","4","4","1","1","3","2","4","2","1","2","4","2","2","","3","1","4","4","3","4","4","2","4","1","3","0","4","3","4","0","0","1","1","0","3","1","2","0","2","1","0","2","0","3","0","3","0","0","3","7911.300000000745","","[{""page_index"":0,""viewing_time"":7911.10000000149}]","","","",""
"","survey-likert","3","116913","0.0-3.0","f7oyqvecgm","Thu Feb 15 2024 14:23:09 GMT-0500 (Eastern Standard Time)","59","146092","2","2","1","0","0","0","1","2","2","0","0","2","2","1","1","1","0","0","1","0","1","0","0","1","3","4","1","2","1","2","2","4","4","3","4","1","3","0","2","3","1","2","4","4","4","0","1","0","3","2","3","3","2","3","3","1","3","4","4","1","1","3","2","4","2","1","2","4","2","2","","3","1","4","4","3","4","4","2","4","1","3","0","4","3","4","0","0","1","1","0","3","1","2","0","2","1","0","2","0","3","0","3","0","0","3","75791.30000000075","{""BAI1"":2,""BAI2"":2,""BAI3"":1,""BAI4"":0,""BAI5"":0,""BAI6"":0,""BAI7"":1,""BAI8"":2,""BAI9"":2,""BAI10"":0,""BAI11"":0,""BAI12"":2,""BAI13"":2,""BAI14"":1,""BAI15"":1,""BAI16"":1,""BAI17"":0,""BAI18"":0,""BAI19"":1,""BAI20"":0,""BAI21"":1,""BAI22"":0,""BAI23"":0,""BAI24"":1}","","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23]","","",""
"","survey-likert","4","184560","0.0-4.0","f7oyqvecgm","Thu Feb 15 2024 14:23:09 GMT-0500 (Eastern Standard Time)","59","146092","2","2","1","0","0","0","1","2","2","0","0","2","2","1","1","1","0","0","1","0","1","0","0","1","3","4","1","2","1","2","2","4","4","3","4","1","3","0","2","3","1","2","4","4","4","0","1","0","3","2","3","3","2","3","3","1","3","4","4","1","1","3","2","4","2","1","2","4","2","2","","3","1","4","4","3","4","4","2","4","1","3","0","4","3","4","0","0","1","1","0","3","1","2","0","2","1","0","2","0","3","0","3","0","0","3","67645.39999999851","{""NFC1"":3,""NFC2"":4,""NFC3"":1,""NFC4"":2,""NFC5"":1,""NFC6"":2,""NFC7"":2,""NFC8"":4,""NFC9"":4,""NFC10"":3,""NFC11"":4,""NFC12"":1,""NFC13"":3,""NFC14"":0,""NFC15"":2,""NFC16"":3,""NFC17"":1,""NFC18"":2}","","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18]","","",""
"","survey-likert","5","284104","0.0-5.0","f7oyqvecgm","Thu Feb 15 2024 14:23:09 GMT-0500 (Eastern Standard Time)","59","146092","2","2","1","0","0","0","1","2","2","0","0","2","2","1","1","1","0","0","1","0","1","0","0","1","3","4","1","2","1","2","2","4","4","3","4","1","3","0","2","3","1","2","4","4","4","0","1","0","3","2","3","3","2","3","3","1","3","4","4","1","1","3","2","4","2","1","2","4","2","2","","3","1","4","4","3","4","4","2","4","1","3","0","4","3","4","0","0","1","1","0","3","1","2","0","2","1","0","2","0","3","0","3","0","0","3","99541.5","{""BFI1"":4,""BFI2"":4,""BFI3"":4,""BFI4"":0,""BFI5"":1,""BFI6"":0,""BFI7"":3,""BFI8"":2,""BFI9"":3,""BFI10"":3,""BFI11"":2,""BFI12"":3,""BFI13"":3,""BFI14"":1,""BFI15"":3,""BFI16"":4,""BFI17"":4,""BFI18"":1,""BFI19"":1,""BFI20"":3,""BFI21"":2,""BFI22"":4,""BFI23"":2,""BFI24"":1,""BFI25"":2,""BFI26"":4,""BFI27"":2,""BFI28"":2,""BAI29"":0,""BFI30"":3,""BFI31"":1,""BFI32"":4,""BFI33"":4,""BFI34"":3,""BFI35"":4,""BFI36"":4,""BFI37"":2,""BFI38"":4,""BFI39"":1,""BFI40"":3,""BFI41"":0,""BFI42"":4,""BFI43"":3,""BFI44"":4}","","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43]","","",""
"","survey-likert","6","338351","0.0-6.0","f7oyqvecgm","Thu Feb 15 2024 14:23:09 GMT-0500 (Eastern Standard Time)","59","146092","2","2","1","0","0","0","1","2","2","0","0","2","2","1","1","1","0","0","1","0","1","0","0","1","3","4","1","2","1","2","2","4","4","3","4","1","3","0","2","3","1","2","4","4","4","0","1","0","3","2","3","3","2","3","3","1","3","4","4","1","1","3","2","4","2","1","2","4","2","2","","3","1","4","4","3","4","4","2","4","1","3","0","4","3","4","0","0","1","1","0","3","1","2","0","2","1","0","2","0","3","0","3","0","0","3","54245.10000000149","{""UPPS1"":0,""UPPS2"":0,""UPPS3"":1,""UPPS4"":1,""UPPS5"":0,""UPPS6"":3,""UPPS7"":1,""UPPS8"":2,""UPPS9"":0,""UPPS10"":2,""UPPS11"":1,""UPPS12"":0,""UPPS13"":2,""UPPS14"":0,""UPPS15"":3,""UPPS16"":0,""UPPS17"":3,""UPPS18"":0,""UPPS19"":0,""UPPS20"":3}","","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19]","","",""
"","html-keyboard-response","7","346953","0.0-7.0","f7oyqvecgm","Thu Feb 15 2024 14:23:09 GMT-0500 (Eastern Standard Time)","59","146092","2","2","1","0","0","0","1","2","2","0","0","2","2","1","1","1","0","0","1","0","1","0","0","1","3","4","1","2","1","2","2","4","4","3","4","1","3","0","2","3","1","2","4","4","4","0","1","0","3","2","3","3","2","3","3","1","3","4","4","1","1","3","2","4","2","1","2","4","2","2","","3","1","4","4","3","4","4","2","4","1","3","0","4","3","4","0","0","1","1","0","3","1","2","0","2","1","0","2","0","3","0","3","0","0","3","8600.5","","","","Thank you for your participation! You are now finished the entire study. <br>              We will grant you 1.5 SONA credit shortly. <br>              <b> Please do not close this page. <br> Please inform your experimenter. <b> <br>             <br>  
       <b> EXPERIMENTER: PRESS ""SPACEBAR"" TO SAVE THE DATA <b>
             ","32","1"
