,END,Phase,Block,TrialN,NbackLevel,ISI,Letter_Resp,Letter_RT,Letter_Accuracy,Trial_A_measure,Trial_ACC,Trial_RT,TrialCountCali,CaliEnd_A_measure,ISI_calibrated,TrialIndex,TrialNumber_total,TrialNumber_valid,CueLearning,TrialDemandLearning,CueMapping,OfflineRatingTimePoint,CueFigure,TrialDemand,OfflineRating,OfflineRatingRT,PhaseType,CueLeft,CueDemandLeft,CueRight,CueDemandRight,Choice,ChoiceDemand,TaskDemand,ChoiceRT,CueCheck,CueDemandCheck,CorrectAnswer,Answer,AnswerDemand,AnswerRT,AnswerACC,DemandRatingQuesIndex,QuesTLX,DemandLevel,DemandRating,DemandRatingRT,PID,Age,Gender,BAI_bis,BAI_bas_d,BAI_bas_rr,BAI_bas_fs,NFC,BFI_ext,BFI_agr,BFI_con,BFI_neu,BFI_open,UPPS_lps,UPPS_lpm,UPPS_pu,UPPS_ss,Task_A_measure,Task_ACC,Task_RT,Task_RT_z,cue_i_on_zyg_values,cue_i_on_zyg_zvalues,cue_e_on_zyg_values,cue_e_on_zyg_zvalues,cue_i_on_cor_values,cue_i_on_cor_zvalues,cue_e_on_cor_values,cue_e_on_cor_zvalues,cue_i_on_scr_values,cue_i_on_scr_zvalues,cue_e_on_scr_values,cue_e_on_scr_zvalues,cue_e_true_zyg_values,cue_e_true_zyg_zvalues,cue_e_true_cor_values,cue_e_true_cor_zvalues,cue_e_true_scr_values,cue_e_true_scr_zvalues,cue_e_false_zyg_values,cue_e_false_zyg_zvalues,cue_e_false_cor_values,cue_e_false_cor_zvalues,cue_e_false_scr_values,cue_e_false_scr_zvalues,OfflineRating_z,cue_i_off_zyg_values,cue_i_off_zyg_zvalues,cue_i_off_cor_values,cue_i_off_cor_zvalues,cue_i_off_scr_values,cue_i_off_scr_zvalues,DemandRating_z
0,240615_093511,PRACTICE,0.0,1,3.0,202.0,,,,,,,,,,31.0,1.0,1.0,cue1.png,Hard,B,,,,,,,,,,,,,,,,,,,,,,,,,,,14,34,Female,0.7142857142857143,1.75,0.2,1.75,1.1111111111111112,2.5,2.2222222222222223,2.6666666666666665,3.0,1.5555555555555556,2.0,1.75,2.0,2.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,240615_093800,LEARNING,1.0,1,1.0,202.0,,,,,,,,,,1.0,1.0,1.0,cue2.png,Easy,B,,,,,,,,,,,,,,,,,,,,,,,,,,,14,34,Female,0.7142857142857143,1.75,0.2,1.75,1.1111111111111112,2.5,2.2222222222222223,2.6666666666666665,3.0,1.5555555555555556,2.0,1.75,2.0,2.75,1.0,1.0,0.4086369904717208,0.572949702181004,0.013121642174014124,-0.051409626437926896,0.011844352270512452,-0.1489389047522669,0.011155033321102075,-0.7099794441949295,0.022056642215644892,0.43667033244054315,,,1.4955235166556643e+45,-0.16510999961475556,,,,,,,,,,,,,,,,,,,,
1,240615_093832,LEARNING,1.0,2,3.0,202.0,,,,,,,,,,2.0,2.0,2.0,cue1.png,Hard,B,,,,,,,,,,,,,,,,,,,,,,,,,,,14,34,Female,0.7142857142857143,1.75,0.2,1.75,1.1111111111111112,2.5,2.2222222222222223,2.6666666666666665,3.0,1.5555555555555556,2.0,1.75,2.0,2.75,0.6428571428571429,0.4047619047619047,0.3966158000053837,0.3891264882405598,0.009143460731118016,-0.28135875505526475,0.008549461585044918,-0.3664500355768874,0.015653041722352354,-0.1890237610283397,0.01583220445330021,-0.3585544249522658,1.8922463997021316e+44,-0.18212070176788225,9.344073599274237e+43,-0.17124603406391178,,,,,,,,,,,,,,,,,,,,
2,240615_093902,LEARNING,1.0,3,1.0,202.0,,,,,,,,,,3.0,3.0,3.0,cue2.png,Easy,B,,,,,,,,,,,,,,,,,,,,,,,,,,,14,34,Female,0.7142857142857143,1.75,0.2,1.75,1.1111111111111112,2.5,2.2222222222222223,2.6666666666666665,3.0,1.5555555555555556,2.0,1.75,2.0,2.75,1.0,1.0,0.4090708666675103,0.5795843626154776,0.009195535079589284,-0.2783487236562026,0.0482566910844031,2.2548097313742583,0.012051819218183563,-0.6061144292833546,0.021999820591276534,0.42941088762347884,-6.843034995172471e+44,-0.18394459985307596,-3.5003113310970478e+44,-0.17318683150010716,,,,,,,,,,,,,,,,,,,,
3,240615_093933,LEARNING,1.0,4,3.0,202.0,,,,,,,,,,4.0,4.0,4.0,cue1.png,Hard,B,,,,,,,,,,,,,,,,,,,,,,,,,,,14,34,Female,0.7142857142857143,1.75,0.2,1.75,1.1111111111111112,2.5,2.2222222222222223,2.6666666666666665,3.0,1.5555555555555556,2.0,1.75,2.0,2.75,0.6607142857142857,0.5714285714285715,0.357322973315604,-0.211723627822948,0.009314556447815644,-0.2714689821704623,0.009173440577594968,-0.3252582664905906,0.014872547474154375,-0.2794199715299812,0.014618879251509656,-0.5135670182292877,-6.116609238384611e+44,-0.18379292453925972,-3.358189574275309e+44,-0.1731246337463183,,,,,,,,,,,,,,,,,,,,
4,240615_094004,LEARNING,1.0,5,3.0,202.0,,,,,,,,,,5.0,5.0,5.0,cue1.png,Hard,B,,,,,,,,,,,,,,,,,,,,,,,,,,,14,34,Female,0.7142857142857143,1.75,0.2,1.75,1.1111111111111112,2.5,2.2222222222222223,2.6666666666666665,3.0,1.5555555555555556,2.0,1.75,2.0,2.75,0.1666666666666666,0.4285714285714286,0.4068360749988642,0.545410826461281,0.010135449324568183,-0.2240192606313646,0.010018976484408183,-0.26944049018167293,0.012288818468734254,-0.5786653683953655,0.01050510539105397,-1.0391365467640963,2.7106465279104094e+48,5.477225187575583,1.3715936920325432e+48,5.83094791985017,,,,,,,,,,,,,,,,,,,,
5,240615_094035,LEARNING,1.0,6,1.0,202.0,,,,,,,,,,6.0,6.0,6.0,cue2.png,Easy,B,,,,,,,,,,,,,,,,,,,,,,,,,,,14,34,Female,0.7142857142857143,1.75,0.2,1.75,1.1111111111111112,2.5,2.2222222222222223,2.6666666666666665,3.0,1.5555555555555556,2.0,1.75,2.0,2.75,1.0,1.0,0.4825622809529748,1.7033855376166702,0.008809726541627972,-0.3006494503552713,0.011403073776898769,-0.17806976016359824,0.012003209081856522,-0.6117444158285188,0.012934298422112321,-0.7287865179679198,-1.879077227845853e+43,-0.18255503112138624,,,,,,,,,,,,,,,,,,,,,,
6,240615_094106,LEARNING,1.0,7,3.0,202.0,,,,,,,,,,7.0,7.0,7.0,cue1.png,Hard,B,,,,,,,,,,,,,,,,,,,,,,,,,,,14,34,Female,0.7142857142857143,1.75,0.2,1.75,1.1111111111111112,2.5,2.2222222222222223,2.6666666666666665,3.0,1.5555555555555556,2.0,1.75,2.0,2.75,0.5583333333333333,0.3904761904761905,0.2583538090958344,-1.7251203166802613,0.008810317223838555,-0.30061530740287884,0.008902480159062387,-0.3431456298874042,0.013540965936631807,-0.43364266470664714,0.008808342226929552,-1.2559124431682116,4.816625976031685e+43,-0.1824152270360852,7.553953632722958e+43,-0.171324376355354,,,,,,,,,,,,,,,,,,,,
7,240615_094137,LEARNING,1.0,8,3.0,202.0,,,,,,,,,,8.0,8.0,8.0,cue1.png,Hard,B,,,,,,,,,,,,,,,,,,,,,,,,,,,14,34,Female,0.7142857142857143,1.75,0.2,1.75,1.1111111111111112,2.5,2.2222222222222223,2.6666666666666665,3.0,1.5555555555555556,2.0,1.75,2.0,2.75,0.6333333333333333,0.6571428571428573,0.4266513722314913,0.8484183890389491,0.008120794735120668,-0.3404714823206595,0.009535711488841681,-0.3013430707854083,,,0.02115323917073082,0.3212529253349894,,,,,,,,,,,,,,,,,,,,,,,,
8,240615_094207,LEARNING,1.0,9,1.0,202.0,,,,,,,,,,9.0,9.0,9.0,cue2.png,Easy,B,,,,,,,,,,,,,,,,,,,,,,,,,,,14,34,Female,0.7142857142857143,1.75,0.2,1.75,1.1111111111111112,2.5,2.2222222222222223,2.6666666666666665,3.0,1.5555555555555556,2.0,1.75,2.0,2.75,0.9305555555555556,0.8857142857142857,0.4081883200036827,0.5660888136803283,0.006994185408937491,-0.4055924016569557,0.007213428982710213,-0.454647790796541,0.014789558374662493,-0.289031701692414,0.016464123855041358,-0.27782135762505383,,,,,,,,,,,,,,,,,,,,,,,,
