,END,Phase,Block,TrialN,NbackLevel,ISI,Letter_Resp,Letter_RT,Letter_Accuracy,Trial_A_measure,Trial_ACC,Trial_RT,TrialCountCali,CaliEnd_A_measure,ISI_calibrated,TrialIndex,TrialNumber_total,TrialNumber_valid,CueLearning,TrialDemandLearning,CueMapping,OfflineRatingTimePoint,CueFigure,TrialDemand,OfflineRating,OfflineRatingRT,PhaseType,CueLeft,CueDemandLeft,CueRight,CueDemandRight,Choice,ChoiceDemand,TaskDemand,ChoiceRT,CueCheck,CueDemandCheck,CorrectAnswer,Answer,AnswerDemand,AnswerRT,AnswerACC,DemandRatingQuesIndex,QuesTLX,DemandLevel,DemandRating,DemandRatingRT,PID,Age,Gender,BAI_bis,BAI_bas_d,BAI_bas_rr,BAI_bas_fs,NFC,BFI_ext,BFI_agr,BFI_con,BFI_neu,BFI_open,UPPS_lps,UPPS_lpm,UPPS_pu,UPPS_ss,Task_A_measure,Task_ACC,Task_RT,Task_RT_z,cue_i_on_zyg_values,cue_i_on_zyg_zvalues,cue_e_on_zyg_values,cue_e_on_zyg_zvalues,cue_i_on_cor_values,cue_i_on_cor_zvalues,cue_e_on_cor_values,cue_e_on_cor_zvalues,cue_i_on_scr_values,cue_i_on_scr_zvalues,cue_e_on_scr_values,cue_e_on_scr_zvalues,cue_e_true_zyg_values,cue_e_true_zyg_zvalues,cue_e_true_cor_values,cue_e_true_cor_zvalues,cue_e_true_scr_values,cue_e_true_scr_zvalues,cue_e_false_zyg_values,cue_e_false_zyg_zvalues,cue_e_false_cor_values,cue_e_false_cor_zvalues,cue_e_false_scr_values,cue_e_false_scr_zvalues,OfflineRating_z,cue_i_off_zyg_values,cue_i_off_zyg_zvalues,cue_i_off_cor_values,cue_i_off_cor_zvalues,cue_i_off_scr_values,cue_i_off_scr_zvalues,DemandRating_z
0,240628_092458,PRACTICE,0.0,1,1.0,1068.0,,,,,,,,,,10.0,1.0,1.0,cue2.png,Easy,B,,,,,,,,,,,,,,,,,,,,,,,,,,,32,22,Female,0.2857142857142857,0.5,0.2,1.25,1.5,2.0,2.888888888888889,3.0,2.625,1.6666666666666667,2.25,2.25,2.75,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,240628_092754,LEARNING,1.0,1,1.0,1068.0,,,,,,,,,,1.0,1.0,1.0,cue2.png,Easy,B,,,,,,,,,,,,,,,,,,,,,,,,,,,32,22,Female,0.2857142857142857,0.5,0.2,1.25,1.5,2.0,2.888888888888889,3.0,2.625,1.6666666666666667,2.25,2.25,2.75,1.25,0.5833333333333334,0.75,0.5219969817818227,-0.6790942769953107,0.006891840457784186,-0.7107298310152806,0.010286812406608267,-0.20057382863661435,,,,,4.820312180649283e+45,-0.19209863548033795,,,,,,,,,,,,,,,,,,,,,,
1,240628_092817,LEARNING,1.0,2,3.0,1068.0,,,,,,,,,,2.0,2.0,2.0,cue1.png,Hard,B,,,,,,,,,,,,,,,,,,,,,,,,,,,32,22,Female,0.2857142857142857,0.5,0.2,1.25,1.5,2.0,2.888888888888889,3.0,2.625,1.6666666666666667,2.25,2.25,2.75,1.25,0.84375,0.875,0.560424890877171,-0.33858793946438054,0.007796304121611693,-0.46498989774226157,0.010622241652326959,-0.13693390976728148,0.015476692759956324,-1.2409670768316994,0.01563629625089225,-0.6111924865495949,3.834126225141861e+44,-0.1945567495302169,1.3088451149322025e+45,-0.17950025048532264,,,,,,,,,,,,,,,,,,,,
2,240628_092839,LEARNING,1.0,3,1.0,1068.0,,,,,,,,,,3.0,3.0,3.0,cue2.png,Easy,B,,,,,,,,,,,,,,,,,,,,,,,,,,,32,22,Female,0.2857142857142857,0.5,0.2,1.25,1.5,2.0,2.888888888888889,3.0,2.625,1.6666666666666667,2.25,2.25,2.75,1.25,0.84375,0.875,0.4880185091698711,-0.980174547464443,,,0.019545081163995646,1.5559679163391398,0.014502833456306763,-1.4097263877058706,0.01482797587623554,-0.6834755423895041,,,-4.9904246237633316e+45,-0.17994023708875742,,,,,,,,,,,,,,,,,,,,
3,240628_092904,LEARNING,1.0,4,3.0,1068.0,,,,,,,,,,4.0,4.0,4.0,cue1.png,Hard,B,,,,,,,,,,,,,,,,,,,,,,,,,,,32,22,Female,0.2857142857142857,0.5,0.2,1.25,1.5,2.0,2.888888888888889,3.0,2.625,1.6666666666666667,2.25,2.25,2.75,1.25,0.84375,0.875,0.7389859454494647,1.2436259292946776,,,0.011402553090139145,0.01111208571167735,0.02563970831667634,0.5201738757968378,0.014033584692132794,-0.754512997487202,-8.838324311226215e+44,-0.1952588237670052,-5.2540401271830946e+45,-0.17995864990401597,,,,,,,,,,,,,,,,,,,,
4,240628_092929,LEARNING,1.0,5,3.0,1068.0,,,,,,,,,,5.0,5.0,5.0,cue1.png,Hard,B,,,,,,,,,,,,,,,,,,,,,,,,,,,32,22,Female,0.2857142857142857,0.5,0.2,1.25,1.5,2.0,2.888888888888889,3.0,2.625,1.6666666666666667,2.25,2.25,2.75,1.25,0.5833333333333334,0.75,0.7687487727327441,1.5073517356519615,,,0.006037486780570003,-1.0067848002262711,0.018513780359255307,-0.714672561390461,0.01889816296230571,-0.3195040656761584,1.0642875047776089e+49,5.70155558551795,8.228465475679839e+49,5.567764335525076,,,,,,,,,,,,,,,,,,,,
5,240628_092951,LEARNING,1.0,6,1.0,1068.0,,,,,,,,,,6.0,6.0,6.0,cue2.png,Easy,B,,,,,,,,,,,,,,,,,,,,,,,,,,,32,22,Female,0.2857142857142857,0.5,0.2,1.25,1.5,2.0,2.888888888888889,3.0,2.625,1.6666666666666667,2.25,2.25,2.75,1.25,1.0,1.0,0.4728032636710189,-1.114995505497658,0.009382490726872712,-0.03402798503712366,0.020145271966226175,1.6698401992351395,0.01708628806321886,-0.9620415758410198,0.024831112313655184,0.2110426367264361,,,-5.381678074362626e+43,-0.1795954286573932,,,,,,,,,,,,,,,,,,,,
6,240628_093016,LEARNING,1.0,7,3.0,1068.0,,,,,,,,,,7.0,7.0,7.0,cue1.png,Hard,B,,,,,,,,,,,,,,,,,,,,,,,,,,,32,22,Female,0.2857142857142857,0.5,0.2,1.25,1.5,2.0,2.888888888888889,3.0,2.625,1.6666666666666667,2.25,2.25,2.75,1.25,0.84375,0.875,0.6564771272877062,0.5125225164975757,0.00866563408565783,-0.22879568021792382,0.007820538318682357,-0.6684921299429116,0.02094503290206603,-0.293362725207536,0.017277845364197842,-0.4643989750394905,,,,,,,,,,,,,,,,,,,,,,,,
7,240628_093040,LEARNING,1.0,8,3.0,1068.0,,,,,,,,,,8.0,8.0,8.0,cue1.png,Hard,B,,,,,,,,,,,,,,,,,,,,,,,,,,,32,22,Female,0.2857142857142857,0.5,0.2,1.25,1.5,2.0,2.888888888888889,3.0,2.625,1.6666666666666667,2.25,2.25,2.75,1.25,0.84375,0.875,0.6532984999304806,0.484356977823614,0.00809531102433611,-0.3837506625332686,0.012983085020596901,0.31098135802038146,0.020443915038299492,-0.38020104470508126,,,,,,,,,,,,,,,,,,,,,,,,,,
8,240628_093103,LEARNING,1.0,9,1.0,1068.0,,,,,,,,,,9.0,9.0,9.0,cue2.png,Easy,B,,,,,,,,,,,,,,,,,,,,,,,,,,,32,22,Female,0.2857142857142857,0.5,0.2,1.25,1.5,2.0,2.888888888888889,3.0,2.625,1.6666666666666667,2.25,2.25,2.75,1.25,0.84375,0.875,0.5562668090728535,-0.37543233822750555,0.009368735222570566,-0.03776531230026811,0.010209649226830798,-0.21521375214780453,0.0222235015425353,-0.07181790253007966,0.020838667243038893,-0.1459768558227761,1.3055263920300518e+48,0.5285135505175456,,,,,,,,,,,,,,,,,,,,,,
9,240628_093126,LEARNING,1.0,10,1.0,1068.0,,,,,,,,,,10.0,10.0,10.0,cue2.png,Easy,B,,,,,,,,,,,,,,,,,,,,,,,,,,,32,22,Female,0.2857142857142857,0.5,0.2,1.25,1.5,2.0,2.888888888888889,3.0,2.625,1.6666666666666667,2.25,2.25,2.75,1.25,1.0,1.0,0.5712039272554896,-0.24307584198889612,,,0.006958318158344705,-0.8320784055934536,0.019808764169778597,-0.4902658379159993,0.020646141349496563,-0.16319324718178255,3.5395139735322533e+44,-0.1945730715250121,2.266386334106616e+45,-0.17943336887425504,,,,,,,,,,,,,,,,,,,,
10,240628_093150,LEARNING,1.0,11,3.0,1068.0,,,,,,,,,,11.0,11.0,11.0,cue1.png,Hard,B,,,,,,,,,,,,,,,,,,,,,,,,,,,32,22,Female,0.2857142857142857,0.5,0.2,1.25,1.5,2.0,2.888888888888889,3.0,2.625,1.6666666666666667,2.25,2.25,2.75,1.25,0.84375,0.875,0.6995972818271681,0.8946064300295049,0.009657486727460174,0.04068756356627266,,,0.021148596539168653,-0.258087343037094,0.020548585037906367,-0.17191710042030148,,,1.3217755131250403e+45,-0.1794993473327005,,,,,,,,,,,,,,,,,,,,
11,240628_093214,LEARNING,1.0,12,1.0,1068.0,,,,,,,,,,12.0,12.0,12.0,cue2.png,Easy,B,,,,,,,,,,,,,,,,,,,,,,,,,,,32,22,Female,0.2857142857142857,0.5,0.2,1.25,1.5,2.0,2.888888888888889,3.0,2.625,1.6666666666666667,2.25,2.25,2.75,1.25,1.0,1.0,0.6090620181692595,0.09238138653154009,0.006162021844448711,-0.9090192532608498,0.008537779243900435,-0.5324123012659449,0.019185593492262898,-0.5982545932736041,0.020556283229700423,-0.17122869908246255,2.4555431431724803e+43,-0.19475556221275384,,,,,,,,,,,,,,,,,,,,,,
12,240628_093236,LEARNING,1.0,13,1.0,1068.0,,,,,,,,,,13.0,13.0,13.0,cue2.png,Easy,B,,,,,,,,,,,,,,,,,,,,,,,,,,,32,22,Female,0.2857142857142857,0.5,0.2,1.25,1.5,2.0,2.888888888888889,3.0,2.625,1.6666666666666667,2.25,2.25,2.75,1.25,1.0,1.0,0.4608623272400688,-1.2208030975970328,0.006698250738051515,-0.763327549101744,0.0061959717434197665,-0.9767159546902834,0.02405417017175119,0.24541722080618475,0.0223581471757949,-0.010099230724349637,,,,,,,,,,,,,,,,,,,,,,,,
13,240628_093300,LEARNING,1.0,14,1.0,1068.0,,,,,,,,,,14.0,14.0,14.0,cue2.png,Easy,B,,,,,,,,,,,,,,,,,,,,,,,,,,,32,22,Female,0.2857142857142857,0.5,0.2,1.25,1.5,2.0,2.888888888888889,3.0,2.625,1.6666666666666667,2.25,2.25,2.75,1.25,0.5833333333333334,0.75,0.6602707000195303,0.5461370322877926,0.0058542817488848155,-0.9926312695018102,0.008089171273202833,-0.6175252579437727,0.025293450857618027,0.4601711937289675,0.02673404930374094,0.3812104377949351,,,,,,,,,,,,,,,,,,,,,,,,
14,240628_093324,LEARNING,1.0,15,3.0,1068.0,,,,,,,,,,15.0,15.0,15.0,cue1.png,Hard,B,,,,,,,,,,,,,,,,,,,,,,,,,,,32,22,Female,0.2857142857142857,0.5,0.2,1.25,1.5,2.0,2.888888888888889,3.0,2.625,1.6666666666666667,2.25,2.25,2.75,1.25,0.84375,0.875,0.6935281636913053,0.8408285056736013,,,0.02251960532808744,2.120314880397329,,,0.020095938652612874,-0.21239444698947346,,,,,,,,,,,,,,,,,,,,,,,,
15,240628_093348,LEARNING,1.0,16,1.0,1068.0,,,,,,,,,,16.0,16.0,16.0,cue2.png,Easy,B,,,,,,,,,,,,,,,,,,,,,,,,,,,32,22,Female,0.2857142857142857,0.5,0.2,1.25,1.5,2.0,2.888888888888889,3.0,2.625,1.6666666666666667,2.25,2.25,2.75,1.25,1.0,1.0,0.593424827220257,-0.04617839318754968,0.006430251899529702,-0.836141990775276,0.011719242160558117,0.07119649100879329,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,240628_093409,LEARNING,1.0,17,1.0,1068.0,,,,,,,,,,17.0,17.0,17.0,cue2.png,Easy,B,,,,,,,,,,,,,,,,,,,,,,,,,,,32,22,Female,0.2857142857142857,0.5,0.2,1.25,1.5,2.0,2.888888888888889,3.0,2.625,1.6666666666666667,2.25,2.25,2.75,1.25,1.0,1.0,0.438263309082355,-1.4210510185959306,0.008080812992755801,-0.3876897321229286,0.008060331650049643,-0.622996907482735,,,0.01993674894700602,-0.22662979072234155,,,,,,,,,,,,,,,,,,,,,,,,
17,240628_093434,LEARNING,1.0,18,3.0,1068.0,,,,,,,,,,18.0,18.0,18.0,cue1.png,Hard,B,,,,,,,,,,,,,,,,,,,,,,,,,,,32,22,Female,0.2857142857142857,0.5,0.2,1.25,1.5,2.0,2.888888888888889,3.0,2.625,1.6666666666666667,2.25,2.25,2.75,1.25,1.0,1.0,0.6709286454768683,0.6405761537158665,0.01139133923335241,0.5117698371206845,0.008687307835401323,-0.5040427194443803,,,0.019751220767295845,-0.24322042012415845,,,,,,,,,,,,,,,,,,,,,,,,
18,240628_093458,LEARNING,1.0,19,3.0,1068.0,,,,,,,,,,19.0,19.0,19.0,cue1.png,Hard,B,,,,,,,,,,,,,,,,,,,,,,,,,,,32,22,Female,0.2857142857142857,0.5,0.2,1.25,1.5,2.0,2.888888888888889,3.0,2.625,1.6666666666666667,2.25,2.25,2.75,1.25,0.84375,0.875,0.6893710636703129,0.8039928064065485,0.011950440260853453,0.6636758281359137,0.012843834578312186,0.2845618166040376,0.03191694277794607,1.6079508862023157,0.02207897903795316,-0.035063498270999124,,,,,,,,,,,,,,,,,,,,,,,,
19,240628_093523,LEARNING,1.0,20,3.0,1068.0,,,,,,,,,,20.0,20.0,20.0,cue1.png,Hard,B,,,,,,,,,,,,,,,,,,,,,,,,,,,32,22,Female,0.2857142857142857,0.5,0.2,1.25,1.5,2.0,2.888888888888889,3.0,2.625,1.6666666666666667,2.25,2.25,2.75,1.25,0.84375,0.7840909090909091,0.6395071699749678,0.3621532107339095,0.006401289644703659,-0.8440109443364059,,,0.021115529564759254,-0.26381749296030305,0.010463607050950613,-1.073753859496144,9.947946680103708e+43,-0.1947140530864818,5.6519017168581e+44,-0.17955219273040487,,,,,,,,,,,,,,,,,,,,
20,240628_093546,LEARNING,1.0,21,1.0,1068.0,,,,,,,,,,21.0,21.0,21.0,cue2.png,Easy,B,,,,,,,,,,,,,,,,,,,,,,,,,,,32,22,Female,0.2857142857142857,0.5,0.2,1.25,1.5,2.0,2.888888888888889,3.0,2.625,1.6666666666666667,2.25,2.25,2.75,1.25,1.0,1.0,0.5550022182181816,-0.3866377670560952,,,0.007164792986888097,-0.7929045961991447,0.026202336633588272,0.6176712932210282,0.024446040010275165,0.17660801936393125,3.7838902121395904e+43,-0.1947482029553477,1.865302142993741e+44,-0.17957864108321694,,,,,,,,,,,,,,,,,,,,
