,END,Phase,Block,TrialN,NbackLevel,ISI,Letter_Resp,Letter_RT,Letter_Accuracy,Trial_A_measure,Trial_ACC,Trial_RT,TrialCountCali,CaliEnd_A_measure,ISI_calibrated,TrialIndex,TrialNumber_total,TrialNumber_valid,CueLearning,TrialDemandLearning,CueMapping,OfflineRatingTimePoint,CueFigure,TrialDemand,OfflineRating,OfflineRatingRT,PhaseType,CueLeft,CueDemandLeft,CueRight,CueDemandRight,Choice,ChoiceDemand,TaskDemand,ChoiceRT,CueCheck,CueDemandCheck,CorrectAnswer,Answer,AnswerDemand,AnswerRT,AnswerACC,DemandRatingQuesIndex,QuesTLX,DemandLevel,DemandRating,DemandRatingRT,PID,Age,Gender,BAI_bis,BAI_bas_d,BAI_bas_rr,BAI_bas_fs,NFC,BFI_ext,BFI_agr,BFI_con,BFI_neu,BFI_open,UPPS_lps,UPPS_lpm,UPPS_pu,UPPS_ss,Task_A_measure,Task_ACC,Task_RT,Task_RT_z,cue_i_on_zyg_values,cue_i_on_zyg_zvalues,cue_e_on_zyg_values,cue_e_on_zyg_zvalues,cue_i_on_cor_values,cue_i_on_cor_zvalues,cue_e_on_cor_values,cue_e_on_cor_zvalues,cue_i_on_scr_values,cue_i_on_scr_zvalues,cue_e_on_scr_values,cue_e_on_scr_zvalues,cue_e_true_zyg_values,cue_e_true_zyg_zvalues,cue_e_true_cor_values,cue_e_true_cor_zvalues,cue_e_true_scr_values,cue_e_true_scr_zvalues,cue_e_false_zyg_values,cue_e_false_zyg_zvalues,cue_e_false_cor_values,cue_e_false_cor_zvalues,cue_e_false_scr_values,cue_e_false_scr_zvalues,OfflineRating_z,cue_i_off_zyg_values,cue_i_off_zyg_zvalues,cue_i_off_cor_values,cue_i_off_cor_zvalues,cue_i_off_scr_values,cue_i_off_scr_zvalues,DemandRating_z
0,240712_144145,PRACTICE,0.0,1,3.0,1068.0,,,,,,,,,,10.0,1.0,1.0,cue1.png,Hard,B,,,,,,,,,,,,,,,,,,,,,,,,,,,42,21,Female,0.0,1.0,0.4,0.5,1.7222222222222223,3.125,2.2222222222222223,0.7777777777777778,2.625,3.0,1.5,1.5,0.25,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,240712_144548,LEARNING,1.0,1,1.0,1068.0,,,,,,,,,,1.0,1.0,1.0,cue2.png,Easy,B,,,,,,,,,,,,,,,,,,,,,,,,,,,42,21,Female,0.0,1.0,0.4,0.5,1.7222222222222223,3.125,2.2222222222222223,0.7777777777777778,2.625,3.0,1.5,1.5,0.25,2.5,0.15625,0.625,0.5863264909077605,-0.1789153124262423,0.007894979176225458,-1.0318477254621272,0.010496512130496237,-0.7842992013071703,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,240712_144612,LEARNING,1.0,2,3.0,1068.0,,,,,,,,,,2.0,2.0,2.0,cue1.png,Hard,B,,,,,,,,,,,,,,,,,,,,,,,,,,,42,21,Female,0.0,1.0,0.4,0.5,1.7222222222222223,3.125,2.2222222222222223,0.7777777777777778,2.625,3.0,1.5,1.5,0.25,2.5,0.5833333333333334,0.75,0.6790982909098436,0.8099639514745339,,,0.014328822562105874,-0.6302100598632533,0.02219989508277817,-0.7177847734412618,,,4.652086857161892e+44,-0.17387502947663191,3.3253780924527852e+44,2.7483281899102354,,,,,,,,,,,,,,,,,,,,
2,240712_144636,LEARNING,1.0,3,1.0,1068.0,,,,,,,,,,3.0,3.0,3.0,cue2.png,Easy,B,,,,,,,,,,,,,,,,,,,,,,,,,,,42,21,Female,0.0,1.0,0.4,0.5,1.7222222222222223,3.125,2.2222222222222223,0.7777777777777778,2.625,3.0,1.5,1.5,0.25,2.5,0.15625,0.625,0.599540272722317,-0.038066101417824356,,,0.017499443478066354,-0.502726062023529,,,,,-3.426233023509927e+45,-0.175194532391597,-3.77785297245757e+44,-2.9821407560552182,,,,,,,,,,,,,,,,,,,,
3,240712_144659,LEARNING,1.0,4,3.0,1068.0,,,,,,,,,,4.0,4.0,4.0,cue1.png,Hard,B,,,,,,,,,,,,,,,,,,,,,,,,,,,42,21,Female,0.0,1.0,0.4,0.5,1.7222222222222223,3.125,2.2222222222222223,0.7777777777777778,2.625,3.0,1.5,1.5,0.25,2.5,0.84375,0.875,0.5991737181849947,-0.041973303617616725,,,,,0.030890414310372566,-0.34956754862664746,,,-3.786587193582525e+45,-0.17531672062242754,-4.600848419116357e+44,-3.646085066278592,,,,,,,,,,,,,,,,,,,,
4,240712_144722,LEARNING,1.0,5,3.0,1068.0,,,,,,,,,,5.0,5.0,5.0,cue1.png,Hard,B,,,,,,,,,,,,,,,,,,,,,,,,,,,42,21,Female,0.0,1.0,0.4,0.5,1.7222222222222223,3.125,2.2222222222222223,0.7777777777777778,2.625,3.0,1.5,1.5,0.25,2.5,0.84375,0.875,0.5620178545412439,-0.43802752579294196,,,0.012272136734504665,-0.7129050708887128,0.012578956804998528,-1.1254238453977636,,,1.745495786490135e+49,5.7445623158672685,,,,,,,,,,,,,,,,,,,,,,
5,240712_144745,LEARNING,1.0,6,1.0,1068.0,,,,,,,,,,6.0,6.0,6.0,cue2.png,Easy,B,,,,,,,,,,,,,,,,,,,,,,,,,,,42,21,Female,0.0,1.0,0.4,0.5,1.7222222222222223,3.125,2.2222222222222223,0.7777777777777778,2.625,3.0,1.5,1.5,0.25,2.5,0.15625,0.625,0.5565536272796717,-0.49627217591386963,0.025013869997670326,-0.21873037213260532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,240712_144808,LEARNING,1.0,7,3.0,1068.0,,,,,,,,,,7.0,7.0,7.0,cue1.png,Hard,B,,,,,,,,,,,,,,,,,,,,,,,,,,,42,21,Female,0.0,1.0,0.4,0.5,1.7222222222222223,3.125,2.2222222222222223,0.7777777777777778,2.625,3.0,1.5,1.5,0.25,2.5,0.5833333333333334,0.75,0.5412947454526809,-0.6589206512984674,0.014361660558006374,-0.7246916775135024,0.012626942432039727,-0.6986390801011073,,,0.07255273345649776,1.5338368346452758,,,5.131696583823526e+43,0.47960386519672854,,,,,,,,,,,,,,,,,,,,
7,240712_144831,LEARNING,1.0,8,3.0,1068.0,,,,,,,,,,8.0,8.0,8.0,cue1.png,Hard,B,,,,,,,,,,,,,,,,,,,,,,,,,,,42,21,Female,0.0,1.0,0.4,0.5,1.7222222222222223,3.125,2.2222222222222223,0.7777777777777778,2.625,3.0,1.5,1.5,0.25,2.5,0.5833333333333334,0.75,0.5709205090904355,-0.3431317656894429,0.07930133103812442,2.3598290158913375,0.015469454719559128,-0.5843476400562355,0.13714929340676862,4.152620243392895,0.06635838488374775,1.2365496790537922,,,,,,,,,,,,,,,,,,,,,,,,
8,240712_144856,LEARNING,1.0,9,1.0,1068.0,,,,,,,,,,9.0,9.0,9.0,cue2.png,Easy,B,,,,,,,,,,,,,,,,,,,,,,,,,,,42,21,Female,0.0,1.0,0.4,0.5,1.7222222222222223,3.125,2.2222222222222223,0.7777777777777778,2.625,3.0,1.5,1.5,0.25,2.5,0.5833333333333334,0.75,0.6597260909038596,0.6034705247907145,0.02573900170687556,-0.18428788503725818,0.09933053720707953,2.787530090535653,0.03292358132753813,-0.2634222796226754,0.030916260434908683,-0.4644344101959687,,,,,,,,,,,,,,,,,,,,,,,,
