"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","date","PID","SONA","BAI1_filler","BAI2_bis","BAI3_bas_d","BAI4_bas_rr","BAI5_bas_fs","BAI6_filler","BAI7_bas_rr","BAI8_bis","BAI9_bas_d","BAI10_bas_fs","BAI11_filler","BAI12_bas_d","BAI13_bis","BAI14_bas_rr","BAI15_bas_fs","BAI16_bis","BAI17_filler","BAI18_bas_rr","BAI19_bis","BAI20_bas_fs","BAI21_bas_d","BAI22_bis","BAI23_bas_rr","BAI24_bis","NFC1","NFC2","NFC3","NFC4","NFC5","NFC6","NFC7","NFC8","NFC9","NFC10","NFC11","NFC12","NFC13","NFC14","NFC15","NFC16","NFC17","NFC18","BFI1_ext","BFI2_agr","BFI3_con","BFI4_neu","BFI5_open","BFI6_ext","BFI7_agr","BFI8_con","BFI9_neu","BFI10_open","BFI11_ext","BFI12_agr","BFI13_con","BFI14_neu","BFI15_open","BFI16_ext","BFI17_agr","BFI18_con","BFI19_neu","BFI20_open","BFI21_ext","BFI22_agr","BFI23_con","BFI24_neu","BFI25_open","BFI26_ext","BFI27_agr","BFI28_con","BFI29_neu","BFI30_bas_rr","BFI31_ext","BFI32_agr","BFI33_con","BFI34_neu","BFI35_open","BFI36_ext","BFI37_agr","BFI38_con","BFI39_neu","BFI40_open","BFI41_open","BFI42_agr","BFI43_con","BFI44_open","UPPS1_lps","UPPS2_lpm","UPPS3_pu","UPPS4_lps","UPPS5_lpm","UPPS6_nu","UPPS7_lps","UPPS8_nu","UPPS9_ss","UPPS10_pu","UPPS11_lps","UPPS12_lpm","UPPS13_nu","UPPS14_ss","UPPS15_nu","UPPS16_ss","UPPS17_pu","UPPS18_ss","UPPS19_lpm","UPPS20_pu","rt","responses","view_history","question_order","stimulus","key_press","npress"
"true","fullscreen","0","4831029","0.0-0.0","e5tba1r3py","Tue Mar 26 2024 08:52:31 GMT-0400 (Eastern Daylight Time)","123","151969","0","3","1","1","1","0","1","1","2","1","2","1","0","1","1","0","1","1","1","2","2","3","1","0","1","3","2","2","1","1","2","4","3","1","1","3","1","2","1","4","3","2","1","2","3","3","2","3","4","1","1","3","2","1","3","3","2","2","1","1","4","4","3","2","2","1","2","2","2","1","","4","4","4","2","1","1","1","0","2","3","3","3","3","2","2","1","1","2","1","1","2","2","2","3","3","1","1","2","3","1","3","3","1","1","2","","","","","","",""
"","survey-text","1","4849643","0.0-1.0","e5tba1r3py","Tue Mar 26 2024 08:52:31 GMT-0400 (Eastern Daylight Time)","123","151969","0","3","1","1","1","0","1","1","2","1","2","1","0","1","1","0","1","1","1","2","2","3","1","0","1","3","2","2","1","1","2","4","3","1","1","3","1","2","1","4","3","2","1","2","3","3","2","3","4","1","1","3","2","1","3","3","2","2","1","1","4","4","3","2","2","1","2","2","2","1","","4","4","4","2","1","1","1","0","2","3","3","3","3","2","2","1","1","2","1","1","2","2","2","3","3","1","1","2","3","1","3","3","1","1","2","18598.200000000186","{""PID"":""123"",""SONA"":""151969""}","","","","",""
"","instructions","2","4854819","0.0-2.0","e5tba1r3py","Tue Mar 26 2024 08:52:31 GMT-0400 (Eastern Daylight Time)","123","151969","0","3","1","1","1","0","1","1","2","1","2","1","0","1","1","0","1","1","1","2","2","3","1","0","1","3","2","2","1","1","2","4","3","1","1","3","1","2","1","4","3","2","1","2","3","3","2","3","4","1","1","3","2","1","3","3","2","2","1","1","4","4","3","2","2","1","2","2","2","1","","4","4","4","2","1","1","1","0","2","3","3","3","3","2","2","1","1","2","1","1","2","2","2","3","3","1","1","2","3","1","3","3","1","1","2","5175.4000000003725","","[{""page_index"":0,""viewing_time"":5175}]","","","",""
"","survey-likert","3","4949052","0.0-3.0","e5tba1r3py","Tue Mar 26 2024 08:52:31 GMT-0400 (Eastern Daylight Time)","123","151969","0","3","1","1","1","0","1","1","2","1","2","1","0","1","1","0","1","1","1","2","2","3","1","0","1","3","2","2","1","1","2","4","3","1","1","3","1","2","1","4","3","2","1","2","3","3","2","3","4","1","1","3","2","1","3","3","2","2","1","1","4","4","3","2","2","1","2","2","2","1","","4","4","4","2","1","1","1","0","2","3","3","3","3","2","2","1","1","2","1","1","2","2","2","3","3","1","1","2","3","1","3","3","1","1","2","94230.60000000056","{""BAI1"":0,""BAI2"":3,""BAI3"":1,""BAI4"":1,""BAI5"":1,""BAI6"":0,""BAI7"":1,""BAI8"":1,""BAI9"":2,""BAI10"":1,""BAI11"":2,""BAI12"":1,""BAI13"":0,""BAI14"":1,""BAI15"":1,""BAI16"":0,""BAI17"":1,""BAI18"":1,""BAI19"":1,""BAI20"":2,""BAI21"":2,""BAI22"":3,""BAI23"":1,""BAI24"":0}","","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23]","","",""
"","survey-likert","4","5040708","0.0-4.0","e5tba1r3py","Tue Mar 26 2024 08:52:31 GMT-0400 (Eastern Daylight Time)","123","151969","0","3","1","1","1","0","1","1","2","1","2","1","0","1","1","0","1","1","1","2","2","3","1","0","1","3","2","2","1","1","2","4","3","1","1","3","1","2","1","4","3","2","1","2","3","3","2","3","4","1","1","3","2","1","3","3","2","2","1","1","4","4","3","2","2","1","2","2","2","1","","4","4","4","2","1","1","1","0","2","3","3","3","3","2","2","1","1","2","1","1","2","2","2","3","3","1","1","2","3","1","3","3","1","1","2","91648.90000000037","{""NFC1"":1,""NFC2"":3,""NFC3"":2,""NFC4"":2,""NFC5"":1,""NFC6"":1,""NFC7"":2,""NFC8"":4,""NFC9"":3,""NFC10"":1,""NFC11"":1,""NFC12"":3,""NFC13"":1,""NFC14"":2,""NFC15"":1,""NFC16"":4,""NFC17"":3,""NFC18"":2}","","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17]","","",""
"","survey-likert","5","5172645","0.0-5.0","e5tba1r3py","Tue Mar 26 2024 08:52:31 GMT-0400 (Eastern Daylight Time)","123","151969","0","3","1","1","1","0","1","1","2","1","2","1","0","1","1","0","1","1","1","2","2","3","1","0","1","3","2","2","1","1","2","4","3","1","1","3","1","2","1","4","3","2","1","2","3","3","2","3","4","1","1","3","2","1","3","3","2","2","1","1","4","4","3","2","2","1","2","2","2","1","","4","4","4","2","1","1","1","0","2","3","3","3","3","2","2","1","1","2","1","1","2","2","2","3","3","1","1","2","3","1","3","3","1","1","2","131933.2999999998","{""BFI1"":1,""BFI2"":2,""BFI3"":3,""BFI4"":3,""BFI5"":2,""BFI6"":3,""BFI7"":4,""BFI8"":1,""BFI9"":1,""BFI10"":3,""BFI11"":2,""BFI12"":1,""BFI13"":3,""BFI14"":3,""BFI15"":2,""BFI16"":2,""BFI17"":1,""BFI18"":1,""BFI19"":4,""BFI20"":4,""BFI21"":3,""BFI22"":2,""BFI23"":2,""BFI24"":1,""BFI25"":2,""BFI26"":2,""BFI27"":2,""BFI28"":1,""BAI29"":3,""BFI30"":4,""BFI31"":4,""BFI32"":4,""BFI33"":2,""BFI34"":1,""BFI35"":1,""BFI36"":1,""BFI37"":0,""BFI38"":2,""BFI39"":3,""BFI40"":3,""BFI41"":3,""BFI42"":3,""BFI43"":2,""BFI44"":2}","","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43]","","",""
"","survey-likert","6","5269021","0.0-6.0","e5tba1r3py","Tue Mar 26 2024 08:52:31 GMT-0400 (Eastern Daylight Time)","123","151969","0","3","1","1","1","0","1","1","2","1","2","1","0","1","1","0","1","1","1","2","2","3","1","0","1","3","2","2","1","1","2","4","3","1","1","3","1","2","1","4","3","2","1","2","3","3","2","3","4","1","1","3","2","1","3","3","2","2","1","1","4","4","3","2","2","1","2","2","2","1","","4","4","4","2","1","1","1","0","2","3","3","3","3","2","2","1","1","2","1","1","2","2","2","3","3","1","1","2","3","1","3","3","1","1","2","96372.5","{""UPPS1"":1,""UPPS2"":1,""UPPS3"":2,""UPPS4"":1,""UPPS5"":1,""UPPS6"":2,""UPPS7"":2,""UPPS8"":2,""UPPS9"":3,""UPPS10"":3,""UPPS11"":1,""UPPS12"":1,""UPPS13"":2,""UPPS14"":3,""UPPS15"":1,""UPPS16"":3,""UPPS17"":3,""UPPS18"":1,""UPPS19"":1,""UPPS20"":2}","","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19]","","",""
"","html-keyboard-response","7","5290306","0.0-7.0","e5tba1r3py","Tue Mar 26 2024 08:52:31 GMT-0400 (Eastern Daylight Time)","123","151969","0","3","1","1","1","0","1","1","2","1","2","1","0","1","1","0","1","1","1","2","2","3","1","0","1","3","2","2","1","1","2","4","3","1","1","3","1","2","1","4","3","2","1","2","3","3","2","3","4","1","1","3","2","1","3","3","2","2","1","1","4","4","3","2","2","1","2","2","2","1","","4","4","4","2","1","1","1","0","2","3","3","3","3","2","2","1","1","2","1","1","2","2","2","3","3","1","1","2","3","1","3","3","1","1","2","21283.299999999814","","","","Thank you for your participation! You are now finished the entire study. <br>              We will grant you 1.5 SONA credit shortly. <br>              <b> Please do not close this page. <br> Please inform your experimenter. <b> <br>             <br>  
       <b> EXPERIMENTER: PRESS ""SPACEBAR"" TO SAVE THE DATA <b>
             ","32","1"
