block,trialID,cueLearning,trialDemandLearning,nBackLevelLearning,choiceTrueID,choiceFalseID,cueLeft,cueDemandLeft,nBackLevelLeft,cueRight,cueDemandRight,nBackLevelRight,cueDemandMid,nBackLevelMid,offlineRatingID,offlineRatingCue,offlineRatingTrialDemand,offlineRatingnBackLevel,checkID,cueCheck,trialDemandCheck,correctAnswer
2,1,cue2.png,Easy,1,NA,41,cue1.png,Hard,3,cue2.png,Easy,1,Mid,2,,,,,,,,
2,2,cue1.png,Hard,3,NA,42,cue2.png,Easy,1,cue1.png,Hard,3,Mid,2,,,,,,,,
2,3,cue1.png,Hard,3,NA,43,cue1.png,Hard,3,cue2.png,Easy,1,Mid,2,,,,,,,,
2,4,cue1.png,Hard,3,NA,44,cue2.png,Easy,1,cue1.png,Hard,3,Mid,2,,,,,,,,
2,5,cue2.png,Easy,1,NA,45,cue1.png,Hard,3,cue2.png,Easy,1,Mid,2,,,,,,,,
2,6,cue1.png,Hard,3,NA,46,cue1.png,Hard,3,cue2.png,Easy,1,Mid,2,,,,,,,,
2,7,cue1.png,Hard,3,NA,47,cue2.png,Easy,1,cue1.png,Hard,3,Mid,2,,,,,,,,
2,8,cue2.png,Easy,1,NA,48,cue2.png,Easy,1,cue1.png,Hard,3,Mid,2,,,,,,,,
2,9,cue2.png,Easy,1,NA,49,cue1.png,Hard,3,cue2.png,Easy,1,Mid,2,,,,,,,,
2,10,cue1.png,Hard,3,NA,50,cue2.png,Easy,1,cue1.png,Hard,3,Mid,2,,,,,,,,
2,11,cue2.png,Easy,1,,,,,,,,,,,,,,,,,,
2,12,cue1.png,Hard,3,,,,,,,,,,,,,,,,,,
2,13,cue2.png,Easy,1,,,,,,,,,,,,,,,,,,
2,14,cue1.png,Hard,3,,,,,,,,,,,,,,,,,,
2,15,cue2.png,Easy,1,,,,,,,,,,,,,,,,,,
2,16,cue2.png,Easy,1,,,,,,,,,,,,,,,,,,
2,17,cue1.png,Hard,3,,,,,,,,,,,,,,,,,,
2,18,cue1.png,Hard,3,,,,,,,,,,,,,,,,,,
2,19,cue2.png,Easy,1,,,,,,,,,,,,,,,,,,
2,20,cue2.png,Easy,1,,,,,,,,,,,,,,,,,,
2,21,cue2.png,Easy,1,,,,,,,,,,,,,,,,,,
2,22,cue1.png,Hard,3,,,,,,,,,,,,,,,,,,
2,23,cue2.png,Easy,1,,,,,,,,,,,,,,,,,,
2,24,cue1.png,Hard,3,,,,,,,,,,,,,,,,,,
2,25,cue1.png,Hard,3,,,,,,,,,,,,,,,,,,
2,26,cue2.png,Easy,1,,,,,,,,,,,,,,,,,,
2,27,cue2.png,Easy,1,,,,,,,,,,,,,,,,,,
2,28,cue1.png,Hard,3,,,,,,,,,,,,,,,,,,
2,29,cue2.png,Easy,1,,,,,,,,,,,,,,,,,,
2,30,cue2.png,Easy,1,,,,,,,,,,,,,,,,,,
2,31,cue1.png,Hard,3,,,,,,,,,,,,,,,,,,
2,32,cue2.png,Easy,1,,,,,,,,,,,,,,,,,,
2,33,cue1.png,Hard,3,,,,,,,,,,,,,,,,,,
2,34,cue1.png,Hard,3,,,,,,,,,,,,,,,,,,
2,35,cue1.png,Hard,3,,,,,,,,,,,,,,,,,,
2,36,cue2.png,Easy,1,,,,,,,,,,,,,,,,,,
2,37,cue1.png,Hard,3,,,,,,,,,,,,,,,,,,
2,38,cue2.png,Easy,1,,,,,,,,,,,,,,,,,,
2,39,cue2.png,Easy,1,,,,,,,,,,,,,,,,,,
2,40,cue1.png,Hard,3,,,,,,,,,,,,,,,,,,
2,41,cue1.png,Hard,3,,,,,,,,,,,,,,,,,,
2,42,cue2.png,Easy,1,,,,,,,,,,,,,,,,,,
2,43,cue1.png,Hard,3,,,,,,,,,,,,,,,,,,
2,44,cue2.png,Easy,1,,,,,,,,,,,,,,,,,,
2,45,cue1.png,Hard,3,,,,,,,,,,,,,,,,,,
2,46,cue1.png,Hard,3,,,,,,,,,,,,,,,,,,
2,47,cue2.png,Easy,1,,,,,,,,,,,,,,,,,,
2,48,cue2.png,Easy,1,,,,,,,,,,,,,,,,,,
2,49,cue1.png,Hard,3,,,,,,,,,,,,,,,,,,
2,50,cue2.png,Easy,1,,,,,,,,,,,,,,,,,,
