subj_idx,ChoiceRT,ChoiceDemand,TaskDemand,trial,DemandAversive_on,DemandAversive_off_T1,DemandAversive_off_T2,DemandAversive_off_T3,DemandAvoidance_true,response,rt,split_by,feedback,q_init
40,0.016688055,hard,mid,37,no_demand_aversive,no_demand_aversive,demand_aversive,demand_aversive,demand_avoid,0,0.016688055,0,0.5,0.5
40,0.016720381,hard,mid,38,no_demand_aversive,no_demand_aversive,demand_aversive,demand_aversive,demand_avoid,0,0.016720381,0,0.5,0.5
40,0.014658462,hard,mid,39,no_demand_aversive,no_demand_aversive,demand_aversive,demand_aversive,demand_avoid,0,0.014658462,0,0.5,0.5
40,0.015894263,hard,mid,40,no_demand_aversive,no_demand_aversive,demand_aversive,demand_aversive,demand_avoid,0,0.015894263,0,0.5,0.5
40,0.016333656,hard,mid,42,no_demand_aversive,no_demand_aversive,demand_aversive,demand_aversive,demand_avoid,0,0.016333656,0,0.5,0.5
40,0.014697214,hard,mid,43,no_demand_aversive,no_demand_aversive,demand_aversive,demand_aversive,demand_avoid,0,0.014697214,0,0.5,0.5
40,0.017595772,hard,mid,44,no_demand_aversive,no_demand_aversive,demand_aversive,demand_aversive,demand_avoid,0,0.017595772,0,0.5,0.5
40,0.017274108,easy,mid,45,no_demand_aversive,no_demand_aversive,demand_aversive,demand_aversive,demand_avoid,1,0.017274108,0,0.5,0.5
40,0.016702741,hard,mid,46,no_demand_aversive,no_demand_aversive,demand_aversive,demand_aversive,demand_avoid,0,0.016702741,0,0.5,0.5
40,0.018097589,hard,mid,47,no_demand_aversive,no_demand_aversive,demand_aversive,demand_aversive,demand_avoid,0,0.018097589,0,0.5,0.5
40,0.015917711,hard,mid,48,no_demand_aversive,no_demand_aversive,demand_aversive,demand_aversive,demand_avoid,0,0.015917711,0,0.5,0.5
40,0.017360701,hard,mid,49,no_demand_aversive,no_demand_aversive,demand_aversive,demand_aversive,demand_avoid,0,0.017360701,0,0.5,0.5
40,0.016699702,hard,mid,50,no_demand_aversive,no_demand_aversive,demand_aversive,demand_aversive,demand_avoid,0,0.016699702,0,0.5,0.5
42,0.01667455,easy,mid,1,demand_aversive,demand_aversive,demand_aversive,no_demand_aversive,demand_avoid,1,0.01667455,0,0.5,1
42,0.016830306,hard,mid,2,demand_aversive,demand_aversive,demand_aversive,no_demand_aversive,demand_avoid,0,0.016830306,0,0.5,1
42,0.017327764,easy,mid,3,demand_aversive,demand_aversive,demand_aversive,no_demand_aversive,demand_avoid,1,0.017327764,0,0.5,1
42,0.014801651,hard,mid,4,demand_aversive,demand_aversive,demand_aversive,no_demand_aversive,demand_avoid,0,0.014801651,0,0.5,1
42,0.016941077,easy,mid,5,demand_aversive,demand_aversive,demand_aversive,no_demand_aversive,demand_avoid,1,0.016941077,0,0.5,1
42,0.016657717,hard,mid,6,demand_aversive,demand_aversive,demand_aversive,no_demand_aversive,demand_avoid,0,0.016657717,0,0.5,1
42,0.01699862,easy,mid,7,demand_aversive,demand_aversive,demand_aversive,no_demand_aversive,demand_avoid,1,0.01699862,0,0.5,1
42,0.016765205,hard,mid,10,demand_aversive,demand_aversive,demand_aversive,no_demand_aversive,demand_avoid,0,0.016765205,0,0.5,1
42,0.017630186,hard,mid,11,demand_aversive,demand_aversive,demand_aversive,no_demand_aversive,demand_avoid,0,0.017630186,0,0.5,1
42,0.017021793,easy,mid,12,demand_aversive,demand_aversive,demand_aversive,no_demand_aversive,demand_avoid,1,0.017021793,0,0.5,1
42,0.016852923,easy,mid,13,demand_aversive,demand_aversive,demand_aversive,no_demand_aversive,demand_avoid,1,0.016852923,0,0.5,1
42,0.016735953,easy,mid,14,demand_aversive,demand_aversive,demand_aversive,no_demand_aversive,demand_avoid,1,0.016735953,0,0.5,1
42,0.016808962,hard,mid,15,demand_aversive,demand_aversive,demand_aversive,no_demand_aversive,demand_avoid,0,0.016808962,0,0.5,1
42,0.016876385,hard,mid,16,demand_aversive,demand_aversive,demand_aversive,no_demand_aversive,demand_avoid,0,0.016876385,0,0.5,1
42,0.016874884,easy,mid,17,demand_aversive,demand_aversive,demand_aversive,no_demand_aversive,demand_avoid,1,0.016874884,0,0.5,1
42,0.017085291,easy,mid,18,demand_aversive,demand_aversive,demand_aversive,no_demand_aversive,demand_avoid,1,0.017085291,0,0.5,1
42,0.01728347,hard,mid,19,demand_aversive,demand_aversive,demand_aversive,no_demand_aversive,demand_avoid,0,0.01728347,0,0.5,1
42,0.016374605,easy,mid,20,demand_aversive,demand_aversive,demand_aversive,no_demand_aversive,demand_avoid,1,0.016374605,0,0.5,1
42,0.016787475,hard,mid,21,demand_aversive,demand_aversive,demand_aversive,no_demand_aversive,demand_avoid,0,0.016787475,0,0.5,1
42,0.017106056,easy,mid,22,demand_aversive,demand_aversive,demand_aversive,no_demand_aversive,demand_avoid,1,0.017106056,0,0.5,1
42,0.016769617,hard,mid,23,demand_aversive,demand_aversive,demand_aversive,no_demand_aversive,demand_avoid,0,0.016769617,0,0.5,1
42,0.016691725,hard,mid,24,demand_aversive,demand_aversive,demand_aversive,no_demand_aversive,demand_avoid,0,0.016691725,0,0.5,1
42,0.016779121,easy,mid,25,demand_aversive,demand_aversive,demand_aversive,no_demand_aversive,demand_avoid,1,0.016779121,0,0.5,1
42,0.016944807,hard,mid,26,demand_aversive,demand_aversive,demand_aversive,no_demand_aversive,demand_avoid,0,0.016944807,0,0.5,1
42,0.016585332,hard,mid,27,demand_aversive,demand_aversive,demand_aversive,no_demand_aversive,demand_avoid,0,0.016585332,0,0.5,1
42,0.016939005,easy,mid,28,demand_aversive,demand_aversive,demand_aversive,no_demand_aversive,demand_avoid,1,0.016939005,0,0.5,1
42,0.017173508,hard,mid,29,demand_aversive,demand_aversive,demand_aversive,no_demand_aversive,demand_avoid,0,0.017173508,0,0.5,1
42,0.016859276,hard,mid,30,demand_aversive,demand_aversive,demand_aversive,no_demand_aversive,demand_avoid,0,0.016859276,0,0.5,1
42,0.01698769,easy,mid,31,demand_aversive,demand_aversive,demand_aversive,no_demand_aversive,demand_avoid,1,0.01698769,0,0.5,1
42,0.01719157,hard,mid,32,demand_aversive,demand_aversive,demand_aversive,no_demand_aversive,demand_avoid,0,0.01719157,0,0.5,1
42,0.016802064,hard,mid,33,demand_aversive,demand_aversive,demand_aversive,no_demand_aversive,demand_avoid,0,0.016802064,0,0.5,1
42,0.017174783,easy,mid,34,demand_aversive,demand_aversive,demand_aversive,no_demand_aversive,demand_avoid,1,0.017174783,0,0.5,1
42,0.016773244,hard,mid,35,demand_aversive,demand_aversive,demand_aversive,no_demand_aversive,demand_avoid,0,0.016773244,0,0.5,1
42,0.016907182,hard,mid,36,demand_aversive,demand_aversive,demand_aversive,no_demand_aversive,demand_avoid,0,0.016907182,0,0.5,1
42,0.017379995,easy,mid,37,demand_aversive,demand_aversive,demand_aversive,no_demand_aversive,demand_avoid,1,0.017379995,0,0.5,1
42,0.016998298,hard,mid,38,demand_aversive,demand_aversive,demand_aversive,no_demand_aversive,demand_avoid,0,0.016998298,0,0.5,1
