"","PID","Gender","Age","CueMapping","Phase","Block","TrialN","NbackLevel","ISI","ISI_calibrated","CaliEnd_A_measure","Trial_A_measure","Trial_ACC","Trial_RT","CueLearning","TrialDemandLearning","cue_i_on_zyg_values","cue_i_on_zyg_zvalues","cue_e_on_zyg_values","cue_e_on_zyg_zvalues","cue_i_on_scr_values","cue_i_on_scr_zvalues","cue_e_on_scr_values","cue_e_on_scr_zvalues","PhaseType","Choice","ChoiceDemand","TaskDemand","ChoiceRT","cue_e_true_zyg_values","cue_e_true_zyg_zvalues","cue_e_true_cor_values","cue_e_true_cor_zvalues","cue_e_true_scr_values","cue_e_true_scr_zvalues","OfflineRatingTimePoint","TrialDemand","OfflineRating","OfflineRatingRT","cue_i_off_zyg_values","cue_i_off_zyg_zvalues","cue_i_off_cor_values","cue_i_off_cor_zvalues","cue_i_off_scr_values","cue_i_off_scr_zvalues","CueCheck","CueDemandCheck","CorrectAnswer","Answer","AnswerDemand","AnswerRT","AnswerACC","DemandRatingQuesIndex","QuesTLX","DemandLevel","DemandRating","DemandRatingRT","BAI_bis","BAI_bas_d","BAI_bas_rr","BAI_bas_fs","NFC","BFI_ext","BFI_agr","BFI_con","BFI_neu","BFI_open","UPPS_lps","UPPS_lpm","UPPS_pu","UPPS_ss"
"033.49",33,"Male",20,"A","LEARNING",1,49,1,159,,,,,,"cue1.png","Easy",4.06490480780366e-05,0.399896988850394,6.55780375938501e-05,0.69123092849015,,,,,"","","","",,,,,,,,"","",,,,,,,,,,,,,,,,,,,,,0,1.75,0.6,0.5,2.44444444444444,3,2.77777777777778,1.55555555555556,2,2.44444444444444,1.5,2,1,1.5
"033.50",33,"Male",20,"A","LEARNING",1,50,1,159,,,,,,"cue1.png","Easy",,,,,-0.03,-2.46361817766755,2.316,1.78009362743308,"","","","",,,,,,,,"","",,,,,,,,,,,,,,,,,,,,,0,1.75,0.6,0.5,2.44444444444444,3,2.77777777777778,1.55555555555556,2,2.44444444444444,1.5,2,1,1.5
"033.51",33,"Male",20,"A","TrueCHOICE",9,1,3,159,,,,,,"","",,,,,,,,,"True","Right","Hard","Hard",0.0164588000625371,,,-0.00117548298820545,-1.62233427884639,1.543,0.539921406048632,"","",,,,,,,,,,,,,,,,,,,,,0,1.75,0.6,0.5,2.44444444444444,3,2.77777777777778,1.55555555555556,2,2.44444444444444,1.5,2,1,1.5
"033.52",33,"Male",20,"A","TrueCHOICE",9,2,1,159,,,,,,"","",,,,,,,,,"True","Left","Easy","Easy",0.0145736001431941,-4.66381415199844e-05,-1.11491011953217,,,1.452,-0.041532415849896,"","",,,,,,,,,,,,,,,,,,,,,0,1.75,0.6,0.5,2.44444444444444,3,2.77777777777778,1.55555555555556,2,2.44444444444444,1.5,2,1,1.5
"033.53",33,"Male",20,"A","TrueCHOICE",9,3,1,159,,,,,,"","",,,,,,,,,"True","Right","Easy","Easy",0.0165109999943524,-1.45905960053597e-06,-0.513198685145182,,,1.457,-0.00958440365766699,"","",,,,,,,,,,,,,,,,,,,,,0,1.75,0.6,0.5,2.44444444444444,3,2.77777777777778,1.55555555555556,2,2.44444444444444,1.5,2,1,1.5
"033.54",33,"Male",20,"A","TrueCHOICE",9,4,1,159,,,,,,"","",,,,,,,,,"True","Left","Easy","Easy",0.0173466000705957,,,-0.00110569486955876,-1.49103111516993,1.13,-2.0989844010293,"","",,,,,,,,,,,,,,,,,,,,,0,1.75,0.6,0.5,2.44444444444444,3,2.77777777777778,1.55555555555556,2,2.44444444444444,1.5,2,1,1.5
"033.55",33,"Male",20,"A","TrueCHOICE",9,5,1,159,,,,,,"","",,,,,,,,,"True","Right","Easy","Easy",0.0192470999900251,5.26646417857842e-05,0.207640442430732,-6.42958647549159e-05,0.468313636227285,1.577,0.757167888955776,"","",,,,,,,,,,,,,,,,,,,,,0,1.75,0.6,0.5,2.44444444444444,3,2.77777777777778,1.55555555555556,2,2.44444444444444,1.5,2,1,1.5
"033.56",33,"Male",20,"A","TrueCHOICE",9,6,1,159,,,,,,"","",,,,,,,,,"True","Right","Easy","Easy",0.0173762999475002,8.86915762325232e-05,0.687460250216195,0.00048437722693916,1.50061704489643,1.592,0.853011925532456,"","",,,,,,,,,,,,,,,,,,,,,0,1.75,0.6,0.5,2.44444444444444,3,2.77777777777778,1.55555555555556,2,2.44444444444444,1.5,2,1,1.5
"033.57",33,"Male",20,"A","TrueCHOICE",9,7,1,159,,,,,,"","",,,,,,,,,"True","Left","Easy","Easy",0.0159836001694202,0.000123012415999595,1.14455766893822,-0.000422858702011787,-0.206305995618505,,,"","",,,,,,,,,,,,,,,,,,,,,0,1.75,0.6,0.5,2.44444444444444,3,2.77777777777778,1.55555555555556,2,2.44444444444444,1.5,2,1,1.5
"033.58",33,"Male",20,"A","TrueCHOICE",9,8,1,159,,,,,,"","",,,,,,,,,"True","Right","Easy","Easy",0.0167492998298257,0.000122124309055512,1.13272953785388,-8.23321622489964e-05,0.43437916474551,,,"","",,,,,,,,,,,,,,,,,,,,,0,1.75,0.6,0.5,2.44444444444444,3,2.77777777777778,1.55555555555556,2,2.44444444444444,1.5,2,1,1.5
"033.59",33,"Male",20,"A","TrueCHOICE",9,9,1,159,,,,,,"","",,,,,,,,,"True","Left","Easy","Easy",0.014384799869731,-7.8877010514265e-05,-1.54427909476167,-1.32045773519321e-05,0.564439564285012,,,"","",,,,,,,,,,,,,,,,,,,,,0,1.75,0.6,0.5,2.44444444444444,3,2.77777777777778,1.55555555555556,2,2.44444444444444,1.5,2,1,1.5
"033.60",33,"Male",20,"A","TrueCHOICE",9,10,1,159,,,,,,"","",,,,,,,,,"True","Right","Easy","Easy",0.0163908000104129,,,-0.000126158462144706,0.351921979480586,,,"","",,,,,,,,,,,,,,,,,,,,,0,1.75,0.6,0.5,2.44444444444444,3,2.77777777777778,1.55555555555556,2,2.44444444444444,1.5,2,1,1.5
