"success","trial_type","trial_index","time_elapsed","internal_node_id","subject","date","PID","SONA","BAI1_filler","BAI2_bis","BAI3_bas_d","BAI4_bas_rr","BAI5_bas_fs","BAI6_filler","BAI7_bas_rr","BAI8_bis","BAI9_bas_d","BAI10_bas_fs","BAI11_filler","BAI12_bas_d","BAI13_bis","BAI14_bas_rr","BAI15_bas_fs","BAI16_bis","BAI17_filler","BAI18_bas_rr","BAI19_bis","BAI20_bas_fs","BAI21_bas_d","BAI22_bis","BAI23_bas_rr","BAI24_bis","NFC1","NFC2","NFC3","NFC4","NFC5","NFC6","NFC7","NFC8","NFC9","NFC10","NFC11","NFC12","NFC13","NFC14","NFC15","NFC16","NFC17","NFC18","BFI1_ext","BFI2_agr","BFI3_con","BFI4_neu","BFI5_open","BFI6_ext","BFI7_agr","BFI8_con","BFI9_neu","BFI10_open","BFI11_ext","BFI12_agr","BFI13_con","BFI14_neu","BFI15_open","BFI16_ext","BFI17_agr","BFI18_con","BFI19_neu","BFI20_open","BFI21_ext","BFI22_agr","BFI23_con","BFI24_neu","BFI25_open","BFI26_ext","BFI27_agr","BFI28_con","BFI29_neu","BFI30_bas_rr","BFI31_ext","BFI32_agr","BFI33_con","BFI34_neu","BFI35_open","BFI36_ext","BFI37_agr","BFI38_con","BFI39_neu","BFI40_open","BFI41_open","BFI42_agr","BFI43_con","BFI44_open","UPPS1_lps","UPPS2_lpm","UPPS3_pu","UPPS4_lps","UPPS5_lpm","UPPS6_nu","UPPS7_lps","UPPS8_nu","UPPS9_ss","UPPS10_pu","UPPS11_lps","UPPS12_lpm","UPPS13_nu","UPPS14_ss","UPPS15_nu","UPPS16_ss","UPPS17_pu","UPPS18_ss","UPPS19_lpm","UPPS20_pu","rt","responses","view_history","question_order","stimulus","key_press","npress"
"true","fullscreen","0","10393426","0.0-0.0","bucvz2oecl","Wed Mar 13 2024 12:53:34 GMT-0400 (Eastern Daylight Time)","86","146917","0","2","0","1","1","1","0","1","1","2","1","1","0","1","2","1","2","0","0","2","1","1","0","1","2","3","1","0","1","2","0","1","3","2","2","1","2","1","3","2","1","3","1","3","3","2","1","1","2","1","1","4","3","1","3","3","3","1","0","0","2","2","2","3","1","2","2","2","2","3","","4","3","4","3","4","0","1","2","4","1","3","0","2","1","4","1","1","3","0","1","1","1","1","3","3","1","0","2","1","2","0","3","0","1","2","","","","","","",""
"","survey-text","1","10407242","0.0-1.0","bucvz2oecl","Wed Mar 13 2024 12:53:34 GMT-0400 (Eastern Daylight Time)","86","146917","0","2","0","1","1","1","0","1","1","2","1","1","0","1","2","1","2","0","0","2","1","1","0","1","2","3","1","0","1","2","0","1","3","2","2","1","2","1","3","2","1","3","1","3","3","2","1","1","2","1","1","4","3","1","3","3","3","1","0","0","2","2","2","3","1","2","2","2","2","3","","4","3","4","3","4","0","1","2","4","1","3","0","2","1","4","1","1","3","0","1","1","1","1","3","3","1","0","2","1","2","0","3","0","1","2","13808.29999999702","{""PID"":""86"",""SONA"":""146917""}","","","","",""
"","instructions","2","10419906","0.0-2.0","bucvz2oecl","Wed Mar 13 2024 12:53:34 GMT-0400 (Eastern Daylight Time)","86","146917","0","2","0","1","1","1","0","1","1","2","1","1","0","1","2","1","2","0","0","2","1","1","0","1","2","3","1","0","1","2","0","1","3","2","2","1","2","1","3","2","1","3","1","3","3","2","1","1","2","1","1","4","3","1","3","3","3","1","0","0","2","2","2","3","1","2","2","2","2","3","","4","3","4","3","4","0","1","2","4","1","3","0","2","1","4","1","1","3","0","1","1","1","1","3","3","1","0","2","1","2","0","3","0","1","2","12663.5","","[{""page_index"":0,""viewing_time"":12663.10000000894}]","","","",""
"","survey-likert","3","10531114","0.0-3.0","bucvz2oecl","Wed Mar 13 2024 12:53:34 GMT-0400 (Eastern Daylight Time)","86","146917","0","2","0","1","1","1","0","1","1","2","1","1","0","1","2","1","2","0","0","2","1","1","0","1","2","3","1","0","1","2","0","1","3","2","2","1","2","1","3","2","1","3","1","3","3","2","1","1","2","1","1","4","3","1","3","3","3","1","0","0","2","2","2","3","1","2","2","2","2","3","","4","3","4","3","4","0","1","2","4","1","3","0","2","1","4","1","1","3","0","1","1","1","1","3","3","1","0","2","1","2","0","3","0","1","2","111206.79999999702","{""BAI1"":0,""BAI2"":2,""BAI3"":0,""BAI4"":1,""BAI5"":1,""BAI6"":1,""BAI7"":0,""BAI8"":1,""BAI9"":1,""BAI10"":2,""BAI11"":1,""BAI12"":1,""BAI13"":0,""BAI14"":1,""BAI15"":2,""BAI16"":1,""BAI17"":2,""BAI18"":0,""BAI19"":0,""BAI20"":2,""BAI21"":1,""BAI22"":1,""BAI23"":0,""BAI24"":1}","","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23]","","",""
"","survey-likert","4","10633280","0.0-4.0","bucvz2oecl","Wed Mar 13 2024 12:53:34 GMT-0400 (Eastern Daylight Time)","86","146917","0","2","0","1","1","1","0","1","1","2","1","1","0","1","2","1","2","0","0","2","1","1","0","1","2","3","1","0","1","2","0","1","3","2","2","1","2","1","3","2","1","3","1","3","3","2","1","1","2","1","1","4","3","1","3","3","3","1","0","0","2","2","2","3","1","2","2","2","2","3","","4","3","4","3","4","0","1","2","4","1","3","0","2","1","4","1","1","3","0","1","1","1","1","3","3","1","0","2","1","2","0","3","0","1","2","102165.59999999404","{""NFC1"":2,""NFC2"":3,""NFC3"":1,""NFC4"":0,""NFC5"":1,""NFC6"":2,""NFC7"":0,""NFC8"":1,""NFC9"":3,""NFC10"":2,""NFC11"":2,""NFC12"":1,""NFC13"":2,""NFC14"":1,""NFC15"":3,""NFC16"":2,""NFC17"":1,""NFC18"":3}","","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17]","","",""
"","survey-likert","5","10776024","0.0-5.0","bucvz2oecl","Wed Mar 13 2024 12:53:34 GMT-0400 (Eastern Daylight Time)","86","146917","0","2","0","1","1","1","0","1","1","2","1","1","0","1","2","1","2","0","0","2","1","1","0","1","2","3","1","0","1","2","0","1","3","2","2","1","2","1","3","2","1","3","1","3","3","2","1","1","2","1","1","4","3","1","3","3","3","1","0","0","2","2","2","3","1","2","2","2","2","3","","4","3","4","3","4","0","1","2","4","1","3","0","2","1","4","1","1","3","0","1","1","1","1","3","3","1","0","2","1","2","0","3","0","1","2","142741.70000000298","{""BFI1"":1,""BFI2"":3,""BFI3"":3,""BFI4"":2,""BFI5"":1,""BFI6"":1,""BFI7"":2,""BFI8"":1,""BFI9"":1,""BFI10"":4,""BFI11"":3,""BFI12"":1,""BFI13"":3,""BFI14"":3,""BFI15"":3,""BFI16"":1,""BFI17"":0,""BFI18"":0,""BFI19"":2,""BFI20"":2,""BFI21"":2,""BFI22"":3,""BFI23"":1,""BFI24"":2,""BFI25"":2,""BFI26"":2,""BFI27"":2,""BFI28"":3,""BAI29"":4,""BFI30"":4,""BFI31"":3,""BFI32"":4,""BFI33"":3,""BFI34"":4,""BFI35"":0,""BFI36"":1,""BFI37"":2,""BFI38"":4,""BFI39"":1,""BFI40"":3,""BFI41"":0,""BFI42"":2,""BFI43"":1,""BFI44"":4}","","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43]","","",""
"","survey-likert","6","10867858","0.0-6.0","bucvz2oecl","Wed Mar 13 2024 12:53:34 GMT-0400 (Eastern Daylight Time)","86","146917","0","2","0","1","1","1","0","1","1","2","1","1","0","1","2","1","2","0","0","2","1","1","0","1","2","3","1","0","1","2","0","1","3","2","2","1","2","1","3","2","1","3","1","3","3","2","1","1","2","1","1","4","3","1","3","3","3","1","0","0","2","2","2","3","1","2","2","2","2","3","","4","3","4","3","4","0","1","2","4","1","3","0","2","1","4","1","1","3","0","1","1","1","1","3","3","1","0","2","1","2","0","3","0","1","2","91805.20000000298","{""UPPS1"":1,""UPPS2"":1,""UPPS3"":3,""UPPS4"":0,""UPPS5"":1,""UPPS6"":1,""UPPS7"":1,""UPPS8"":1,""UPPS9"":3,""UPPS10"":3,""UPPS11"":1,""UPPS12"":0,""UPPS13"":2,""UPPS14"":1,""UPPS15"":2,""UPPS16"":0,""UPPS17"":3,""UPPS18"":0,""UPPS19"":1,""UPPS20"":2}","","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19]","","",""
"","html-keyboard-response","7","10947857","0.0-7.0","bucvz2oecl","Wed Mar 13 2024 12:53:34 GMT-0400 (Eastern Daylight Time)","86","146917","0","2","0","1","1","1","0","1","1","2","1","1","0","1","2","1","2","0","0","2","1","1","0","1","2","3","1","0","1","2","0","1","3","2","2","1","2","1","3","2","1","3","1","3","3","2","1","1","2","1","1","4","3","1","3","3","3","1","0","0","2","2","2","3","1","2","2","2","2","3","","4","3","4","3","4","0","1","2","4","1","3","0","2","1","4","1","1","3","0","1","1","1","1","3","3","1","0","2","1","2","0","3","0","1","2","79997.59999999404","","","","Thank you for your participation! You are now finished the entire study. <br>              We will grant you 1.5 SONA credit shortly. <br>              <b> Please do not close this page. <br> Please inform your experimenter. <b> <br>             <br>  
       <b> EXPERIMENTER: PRESS ""SPACEBAR"" TO SAVE THE DATA <b>
             ","32","1"
