"subj_idx","ChoiceRT","ChoiceDemand","TaskDemand","trial","DemandAversive_on","DemandAvoidance_true","response","rt","split_by","feedback","q_init"
40,0.016549961,"easy","mid",1,"no_demand_aversive","demand_avoid",1,0.016549961,0,0.5,0.5
40,0.017135813,"hard","mid",2,"no_demand_aversive","demand_avoid",0,0.017135813,0,0.5,0.5
40,0.016105594,"easy","mid",3,"no_demand_aversive","demand_avoid",1,0.016105594,0,0.5,0.5
40,0.016333656,"hard","mid",42,"no_demand_aversive","demand_avoid",0,0.016333656,0,0.5,0.5
40,0.014697214,"hard","mid",43,"no_demand_aversive","demand_avoid",0,0.014697214,0,0.5,0.5
40,0.017595772,"hard","mid",44,"no_demand_aversive","demand_avoid",0,0.017595772,0,0.5,0.5
40,0.017274108,"easy","mid",45,"no_demand_aversive","demand_avoid",1,0.017274108,0,0.5,0.5
40,0.016702741,"hard","mid",46,"no_demand_aversive","demand_avoid",0,0.016702741,0,0.5,0.5
40,0.018097589,"hard","mid",47,"no_demand_aversive","demand_avoid",0,0.018097589,0,0.5,0.5
40,0.015917711,"hard","mid",48,"no_demand_aversive","demand_avoid",0,0.015917711,0,0.5,0.5
40,0.017360701,"hard","mid",49,"no_demand_aversive","demand_avoid",0,0.017360701,0,0.5,0.5
40,0.016699702,"hard","mid",50,"no_demand_aversive","demand_avoid",0,0.016699702,0,0.5,0.5
40,0.01562979,"easy","mid",10,"no_demand_aversive","demand_avoid",1,0.01562979,0,0.5,0.5
40,0.015457799,"hard","mid",11,"no_demand_aversive","demand_avoid",0,0.015457799,0,0.5,0.5
40,0.016870091,"easy","mid",12,"no_demand_aversive","demand_avoid",1,0.016870091,0,0.5,0.5
40,0.016957893,"hard","mid",13,"no_demand_aversive","demand_avoid",0,0.016957893,0,0.5,0.5
40,0.015894263,"hard","mid",40,"no_demand_aversive","demand_avoid",0,0.015894263,0,0.5,0.5
40,0.009694649,"hard","mid",41,"no_demand_aversive","demand_avoid",0,0.009694649,0,0.5,0.5
40,0.017037333,"hard","mid",33,"no_demand_aversive","demand_avoid",0,0.017037333,0,0.5,0.5
40,0.016433782,"hard","mid",34,"no_demand_aversive","demand_avoid",0,0.016433782,0,0.5,0.5
40,0.01620281,"hard","mid",31,"no_demand_aversive","demand_avoid",0,0.01620281,0,0.5,0.5
40,0.017996753,"hard","mid",32,"no_demand_aversive","demand_avoid",0,0.017996753,0,0.5,0.5
40,0.016688055,"hard","mid",37,"no_demand_aversive","demand_avoid",0,0.016688055,0,0.5,0.5
40,0.016720381,"hard","mid",38,"no_demand_aversive","demand_avoid",0,0.016720381,0,0.5,0.5
40,0.016109881,"hard","mid",35,"no_demand_aversive","demand_avoid",0,0.016109881,0,0.5,0.5
40,0.015907344,"hard","mid",36,"no_demand_aversive","demand_avoid",0,0.015907344,0,0.5,0.5
40,0.017883712,"hard","mid",9,"no_demand_aversive","demand_avoid",0,0.017883712,0,0.5,0.5
40,0.014658462,"hard","mid",39,"no_demand_aversive","demand_avoid",0,0.014658462,0,0.5,0.5
40,0.017348902,"hard","mid",8,"no_demand_aversive","demand_avoid",0,0.017348902,0,0.5,0.5
42,0.01667455,"easy","mid",1,"demand_aversive","demand_avoid",1,0.01667455,0,0.5,0.5
42,0.016830306,"hard","mid",2,"demand_aversive","demand_avoid",0,0.016830306,0,0.5,0.5
42,0.016808962,"hard","mid",15,"demand_aversive","demand_avoid",0,0.016808962,0,0.5,0.5
42,0.017327764,"easy","mid",3,"demand_aversive","demand_avoid",1,0.017327764,0,0.5,0.5
42,0.014801651,"hard","mid",4,"demand_aversive","demand_avoid",0,0.014801651,0,0.5,0.5
42,0.016735953,"easy","mid",14,"demand_aversive","demand_avoid",1,0.016735953,0,0.5,0.5
42,0.016944807,"hard","mid",26,"demand_aversive","demand_avoid",0,0.016944807,0,0.5,0.5
42,0.016585332,"hard","mid",27,"demand_aversive","demand_avoid",0,0.016585332,0,0.5,0.5
42,0.016939005,"easy","mid",28,"demand_aversive","demand_avoid",1,0.016939005,0,0.5,0.5
42,0.017173508,"hard","mid",29,"demand_aversive","demand_avoid",0,0.017173508,0,0.5,0.5
42,0.016941077,"easy","mid",5,"demand_aversive","demand_avoid",1,0.016941077,0,0.5,0.5
42,0.016657717,"hard","mid",6,"demand_aversive","demand_avoid",0,0.016657717,0,0.5,0.5
42,0.01699862,"easy","mid",7,"demand_aversive","demand_avoid",1,0.01699862,0,0.5,0.5
42,0.010064495,"hard","mid",8,"demand_aversive","demand_avoid",0,0.010064495,0,0.5,0.5
42,0.007385168,"hard","mid",9,"demand_aversive","demand_avoid",0,0.007385168,0,0.5,0.5
42,0.016765205,"hard","mid",10,"demand_aversive","demand_avoid",0,0.016765205,0,0.5,0.5
42,0.017630186,"hard","mid",11,"demand_aversive","demand_avoid",0,0.017630186,0,0.5,0.5
42,0.017021793,"easy","mid",12,"demand_aversive","demand_avoid",1,0.017021793,0,0.5,0.5
42,0.016852923,"easy","mid",13,"demand_aversive","demand_avoid",1,0.016852923,0,0.5,0.5
