"","PID","Gender","Phase","Block","TrialN","TrialIndex","NbackLevel","ISI","Trial_A_measure","Trial_A_measure_pre","Trial_RT","Trial_ACC","Trial_RT_pre","Trial_ACC_pre","TrialDemandLearning","TrialTransition","TrialDemandLearning_pre","TrialTransition_pre","OnlineRating","OnlineRatingRT","CueLearning","CueMapping","PhaseType","CueLeft","CueDemandLeft","CueRight","CueDemandRight","Choice","ChoiceDemand","TaskDemand","ChoiceRT","OnlineRatingMean","OnlineRatingSD","RTZ","ACCZ","RT_preZ","ACC_preZ","OnlineRatingZ"
"1",90,"Female","TEST",1,1,1,1,120,0.916666666666667,,0.446226247045991,1,,,"easy",,,,51,1.99010784502025,"cue2.png","B","","","","","","","","easy",,41.04,19.1832835392416,0.976325293024781,0.952397137965813,,,0.519202042738182
"2",90,"Female","TEST",1,2,2,3,120,0.786764705882353,0.916666666666667,0.518353965386505,0.882352941176471,0.446226247045991,1,"hard","switch","easy",,52,1.75278734200401,"cue1.png","B","","","","","","","","hard",,41.04,19.1832835392416,1.88585745366522,-0.497810168730048,0.972852182822101,0.960974207418248,0.571330761888602
"3",90,"Female","TEST",1,3,3,3,120,0.875,0.786764705882353,0.497081704248558,0.869565217391304,0.518353965386505,0.882352941176471,"hard","repetition","hard","switch",48,1.9057777459966,"cue1.png","B","","","","","","","","hard",,41.04,19.1832835392416,1.61761375929013,-0.655441397718728,1.89176325660146,-0.483633057410848,0.362815885286923
"4",90,"Female","TEST",1,4,4,3,120,0.830882352941177,0.875,0.610244616916727,0.941176470588235,0.497081704248558,0.869565217391304,"hard","repetition","hard","repetition",33,1.26889569300693,"cue1.png","B","","","","","","","","hard",,41.04,19.1832835392416,3.0446006490949,0.227293484617883,1.62075348707425,-0.640655586196619,-0.419114901969376
"5",90,"Female","TEST",1,5,5,1,120,1,0.830882352941177,0.445804710087427,1,0.610244616916727,0.941176470588235,"easy","switch","hard","repetition",47,1.45377810997888,"cue2.png","B","","","","","","","","easy",,41.04,19.1832835392416,0.971009702437231,0.952397137965813,3.06245517935553,0.2386705750037,0.310687166136503
"6",90,"Female","TEST",1,6,6,3,120,0.0483630952380952,1,0.580348724428664,0.72554347826087,0.445804710087427,1,"hard","switch","easy","switch",55,1.2284847489791,"cue1.png","B","","","","","","","","hard",,41.04,19.1832835392416,2.66761276822818,-2.43076311420374,0.967481778931008,0.960974207418248,0.727716919339862
"7",90,"Female","TEST",1,7,7,3,120,0.0114379084967321,0.0483630952380952,0.432629973347977,0.823529411764706,0.580348724428664,0.72554347826087,"hard","repetition","hard","switch",46,1.28049288000329,"cue1.png","B","","","","","","","","hard",,41.04,19.1832835392416,0.804875973987232,-1.22291382207798,2.68157987510558,-2.40912181664637,0.258558446986083
"8",90,"Female","TEST",1,8,8,1,120,1,0.0114379084967321,0.402341860183779,0.956521739130435,0.432629973347977,0.823529411764706,"easy","switch","hard","repetition",38,1.4113017799973,"cue2.png","B","","","","","","","","easy",,41.04,19.1832835392416,0.422942181517867,0.4164509594043,0.799634912808692,-1.2059366898254,-0.158471306217276
"9",90,"Female","TEST",1,9,9,1,120,1,1,0.434378271258143,1,0.402341860183779,0.956521739130435,"easy","repetition","easy","switch",54,1.41368921400863,"cue2.png","B","","","","","","","","easy",,41.04,19.1832835392416,0.82692205020122,0.952397137965813,0.413762695708068,0.427097609546626,0.675588200189442
"10",90,"Female","TEST",1,10,10,3,120,0.909313725490196,1,0.529579836347535,0.882352941176471,0.434378271258143,1,"hard","switch","easy","repetition",55,1.60411325798486,"cue1.png","B","","","","","","","","hard",,41.04,19.1832835392416,2.02741594054336,-0.497810168730048,0.821908323736957,0.960974207418248,0.727716919339862
"11",90,"Female","TEST",1,11,11,1,120,0.958333333333333,0.909313725490196,0.495200375086152,1,0.529579836347535,0.882352941176471,"easy","switch","hard","switch",31,1.16090817199438,"cue2.png","B","","","","","","","","easy",,41.04,19.1832835392416,1.59389015597469,0.952397137965813,2.03478146619196,-0.483633057410848,-0.523372340270216
"12",90,"Female","TEST",1,12,12,3,120,0.774509803921569,0.958333333333333,0.5198513011729,0.941176470588235,0.495200375086152,1,"hard","switch","easy","switch",54,0.817806323000696,"cue1.png","B","","","","","","","","hard",,41.04,19.1832835392416,1.90473889181878,0.227293484617883,1.59678525072166,0.960974207418248,0.675588200189442
"13",90,"Female","TEST",1,13,13,1,120,0.916666666666667,0.774509803921569,0.447708547049526,1,0.5198513011729,0.941176470588235,"easy","switch","hard","switch",26,1.3127898130042,"cue2.png","B","","","","","","","","easy",,41.04,19.1832835392416,0.995017129616197,0.952397137965813,1.91083939635661,0.2386705750037,-0.784015936022315
"14",90,"Female","TEST",1,14,14,3,120,0.0557598039215687,0.916666666666667,0.516639114475332,0.677749360613811,0.447708547049526,1,"hard","switch","easy","switch",54,1.36859678998007,"cue1.png","B","","","","","","","","hard",,41.04,19.1832835392416,1.86423314486548,-3.01990983254894,0.991736765881848,0.960974207418248,0.675588200189442
"15",90,"Female","TEST",1,15,15,1,120,0.916666666666667,0.0557598039215687,0.453341353215206,1,0.516639114475332,0.677749360613811,"easy","switch","hard","switch",19,0.769224070012569,"cue2.png","B","","","","","","","","easy",,41.04,19.1832835392416,1.06604694284491,0.952397137965813,1.86991596226839,-2.99599351798319,-1.14891697007525
"16",90,"Female","TEST",1,16,16,1,120,0.958333333333333,0.916666666666667,0.43457855569305,1,0.453341353215206,1,"easy","repetition","easy","switch",55,0.905412749998504,"cue2.png","B","","","","","","","","easy",,41.04,19.1832835392416,0.829447641458165,0.952397137965813,1.06349902429213,0.960974207418248,0.727716919339862
"17",90,"Female","TEST",1,17,17,3,120,0.808035714285714,0.958333333333333,0.501025823132791,0.831521739130435,0.43457855569305,1,"hard","switch","easy","repetition",62,1.20449906797148,"cue1.png","B","","","","","","","","hard",,41.04,19.1832835392416,1.66734918768209,-1.12439430396005,0.824459958384173,0.960974207418248,1.0926179533928
"18",90,"Female","TEST",1,18,18,3,120,0.751116071428571,0.808035714285714,0.327844022699814,0.9375,0.501025823132791,0.831521739130435,"hard","repetition","hard","switch",18,0.778400608018273,"cue1.png","B","","","","","","","","hard",,41.04,19.1832835392416,-0.516477235161102,0.181974506283637,1.67100177722415,-1.10779760933429,-1.20104568922567
"19",90,"Female","TEST",1,19,19,1,120,0.958333333333333,0.751116071428571,0.378672043827069,1,0.327844022699814,0.9375,"easy","switch","hard","repetition",5,0.748433594999369,"cue2.png","B","","","","","","","","easy",,41.04,19.1832835392416,0.124465261573644,0.952397137965813,-0.535343825497082,0.193526597977791,-1.87871903818113
"20",90,"Female","TEST",1,20,20,1,120,0.985294117647059,0.958333333333333,0.454614784751902,0.81074168797954,0.378672043827069,1,"easy","repetition","easy","switch",57,1.42995196100674,"cue2.png","B","","","","","","","","easy",,41.04,19.1832835392416,1.08210494334246,-1.38054505106666,0.112207941656079,0.960974207418248,0.831974357640702
"21",90,"Female","TEST",1,21,21,1,120,0.958333333333333,0.985294117647059,0.384423826824945,1,0.454614784751902,0.81074168797954,"easy","repetition","easy","repetition",62,1.2211275039881,"cue2.png","B","","","","","","","","easy",,41.04,19.1832835392416,0.196995375348979,0.952397137965813,1.0797226116687,-1.36295921861117,1.0926179533928
"22",90,"Female","TEST",1,22,22,3,120,0.882352941176471,0.958333333333333,0.438830290608483,0.941176470588235,0.384423826824945,1,"hard","switch","easy","repetition",59,1.02879641600884,"cue1.png","B","","","","","","","","hard",,41.04,19.1832835392416,0.883062114965383,0.227293484617883,0.185485971411181,0.960974207418248,0.936231795941541
"23",90,"Female","TEST",1,23,23,1,120,0.715686274509804,0.882352941176471,0.347897895728238,0.838874680306905,0.438830290608483,0.941176470588235,"easy","switch","hard","switch",24,0.6044556540146,"cue2.png","B","","","","","","","","easy",,41.04,19.1832835392416,-0.263597442421198,-1.03375634729156,0.878627293584219,0.2386705750037,-0.888273374323155
"24",90,"Female","TEST",1,24,24,3,120,0.75297619047619,0.715686274509804,0.341733200906839,0.831521739130435,0.347897895728238,0.838874680306905,"hard","switch","easy","switch",50,1.02995172899682,"cue1.png","B","","","","","","","","hard",,41.04,19.1832835392416,-0.341334383636016,-1.12439430396005,-0.27985638707588,-1.01750965528247,0.467073323587762
"25",90,"Female","TEST",1,25,25,3,120,0.0764705882352941,0.75297619047619,0.346722123785066,0.705882352941176,0.341733200906839,0.831521739130435,"hard","repetition","hard","switch",21,0.52095635200385,"cue1.png","B","","","","","","","","hard",,41.04,19.1832835392416,-0.278423953234212,-2.67312112877384,-0.358394936030248,-1.10779760933429,-1.04465953177441
"26",90,"Female","TEST",1,26,26,1,120,0.928571428571429,0.0764705882352941,0.395292945264373,1,0.346722123785066,0.705882352941176,"easy","switch","hard","repetition",5,0.738193585973931,"cue2.png","B","","","","","","","","easy",,41.04,19.1832835392416,0.334055204855845,0.952397137965813,-0.294835785893394,-2.65054395465449,-1.87871903818113
"27",90,"Female","TEST",1,27,27,1,120,0.939732142857143,0.928571428571429,0.398777828912463,0.9375,0.395292945264373,1,"easy","repetition","easy","switch",53,0.471260649996111,"cue2.png","B","","","","","","","","easy",,41.04,19.1832835392416,0.377999666526799,0.181974506283637,0.323959134378268,0.960974207418248,0.623459481039022
"28",90,"Female","TEST",1,28,28,3,120,0.205882352941176,0.939732142857143,0.309804688363908,0.780051150895141,0.398777828912463,0.9375,"hard","switch","easy","repetition",51,1.36148890398908,"cue1.png","B","","","","","","","","hard",,41.04,19.1832835392416,-0.743953649396101,-1.75886000063949,0.368356742520324,0.193526597977791,0.519202042738182
"29",90,"Female","TEST",1,29,29,1,120,0.875,0.205882352941176,0.397207921524698,0.91304347826087,0.309804688363908,0.780051150895141,"easy","switch","hard","switch",26,1.23375541801215,"cue2.png","B","","","","","","","","easy",,41.04,19.1832835392416,0.35820309883755,-0.119495219157214,-0.765165930871535,-1.73981328769702,-0.784015936022315
"30",90,"Female","TEST",1,30,30,1,120,0.985294117647059,0.875,0.425214054390697,0.941176470588235,0.397207921524698,0.91304347826087,"easy","repetition","easy","switch",62,1.73930583000765,"cue2.png","B","","","","","","","","easy",,41.04,19.1832835392416,0.711361068101729,0.227293484617883,0.348356036597331,-0.106778988324996,1.0926179533928
"31",90,"Female","TEST",1,31,31,3,120,0.656862745098039,0.985294117647059,0.35231164643546,0.823529411764706,0.425214054390697,0.941176470588235,"hard","switch","easy","repetition",49,0.810847783985082,"cue1.png","B","","","","","","","","hard",,41.04,19.1832835392416,-0.207939946112828,-1.22291382207798,0.705155699977872,0.2386705750037,0.414944604437342
"32",90,"Female","TEST",1,32,32,1,120,0.882352941176471,0.656862745098039,0.37768627373937,0.941176470588235,0.35231164643546,0.823529411764706,"easy","switch","hard","switch",22,0.413844619004522,"cue2.png","B","","","","","","","","easy",,41.04,19.1832835392416,0.11203467845819,0.227293484617883,-0.223624961833498,-1.2059366898254,-0.992530812623995
"33",90,"Female","TEST",1,33,33,3,120,0.742647058823529,0.882352941176471,0.285298787607842,0.823529411764706,0.37768627373937,0.941176470588235,"hard","switch","easy","switch",60,0.762888211000245,"cue1.png","B","","","","","","","","hard",,41.04,19.1832835392416,-1.05297361253813,-1.22291382207798,0.0996491768617891,0.2386705750037,0.988360515091961
"34",90,"Female","TEST",1,34,34,3,120,0.0557598039215687,0.742647058823529,0.25867687847526,0.764705882352941,0.285298787607842,0.823529411764706,"hard","repetition","hard","switch",23,1.2711212959839,"cue1.png","B","","","","","","","","hard",,41.04,19.1832835392416,-1.38867648919671,-1.94801747542591,-1.07737244586728,-1.2059366898254,-0.940402093473575
"35",90,"Female","TEST",1,35,35,3,120,0.75297619047619,0.0557598039215687,0.339805761226506,0.831521739130435,0.25867687847526,0.764705882352941,"hard","repetition","hard","repetition",6,0.485664640000323,"cue1.png","B","","","","","","","","hard",,41.04,19.1832835392416,-0.36563944162609,-1.12439430396005,-1.41653702322971,-1.92824032223994,-1.82659031903071
"36",90,"Female","TEST",1,36,36,1,120,0.875,0.75297619047619,0.388436501302868,1,0.339805761226506,0.831521739130435,"easy","switch","hard","repetition",12,0.461333240993554,"cue2.png","B","","","","","","","","easy",,41.04,19.1832835392416,0.247595291328883,0.952397137965813,-0.3829506229014,-1.10779760933429,-1.51381800412819
"37",90,"Female","TEST",1,37,37,3,120,0.715686274509804,0.875,0.252795864431866,0.882352941176471,0.388436501302868,1,"hard","switch","easy","switch",66,0.728611754981102,"cue1.png","B","","","","","","","","hard",,41.04,19.1832835392416,-1.46283620938074,-0.497810168730048,0.236607663571576,0.960974207418248,1.30113282999448
"38",90,"Female","TEST",1,38,38,1,120,1,0.715686274509804,0.437104725953364,1,0.252795864431866,0.882352941176471,"easy","switch","hard","switch",40,1.06178419297794,"cue2.png","B","","","","","","","","easy",,41.04,19.1832835392416,0.861302705612023,0.952397137965813,-1.49146146356781,-0.483633057410848,-0.0542138679164367
"39",90,"Female","TEST",1,39,39,1,120,0.928571428571429,1,0.370048023094899,0.956521739130435,0.437104725953364,1,"easy","repetition","easy","switch",64,0.820698425988667,"cue2.png","B","","","","","","","","easy",,41.04,19.1832835392416,0.015716164965495,0.4164509594043,0.856643505567727,0.960974207418248,1.19687539169364
"40",90,"Female","TEST",1,40,40,3,120,0.191176470588235,0.928571428571429,0.346765599138135,0.721227621483376,0.370048023094899,0.956521739130435,"hard","switch","easy","repetition",65,0.647890166001162,"cue1.png","B","","","","","","","","hard",,41.04,19.1832835392416,-0.277875728048092,-2.48396365398742,0.00233744618468823,0.427097609546626,1.24900411084406
"41",90,"Female","TEST",1,41,41,3,120,0.656862745098039,0.191176470588235,0.283009259694549,0.823529411764706,0.346765599138135,0.721227621483376,"hard","repetition","hard","switch",20,0.84514038998168,"cue1.png","B","","","","","","","","hard",,41.04,19.1832835392416,-1.08184461134046,-1.22291382207798,-0.294281907519158,-2.46211692011157,-1.09678825092483
"42",90,"Female","TEST",1,42,42,1,120,0.916666666666667,0.656862745098039,0.357263369784367,1,0.283009259694549,0.823529411764706,"easy","switch","hard","repetition",26,1.00373239198234,"cue2.png","B","","","","","","","","easy",,41.04,19.1832835392416,-0.14549860261764,0.952397137965813,-1.10654115661616,-1.2059366898254,-0.784015936022315
"43",90,"Female","TEST",1,43,43,3,120,0.0114379084967321,0.916666666666667,0.248520293500571,0.780051150895141,0.357263369784367,1,"hard","switch","easy","switch",62,1.194275759015,"cue1.png","B","","","","","","","","hard",,41.04,19.1832835392416,-1.51675125558744,-1.75886000063949,-0.160539735733316,0.960974207418248,1.0926179533928
"44",90,"Female","TEST",1,44,44,1,120,0.892857142857143,0.0114379084967321,0.365404653392034,1,0.248520293500571,0.780051150895141,"easy","switch","hard","switch",15,0.935062203003326,"cue2.png","B","","","","","","","","easy",,41.04,19.1832835392416,-0.0428368320745841,0.952397137965813,-1.5459324709127,-1.73981328769702,-1.35743184667693
"45",90,"Female","TEST",1,45,45,3,120,0.75297619047619,0.892857142857143,0.395923433726156,0.831521739130435,0.365404653392034,1,"hard","switch","easy","switch",65,0.755025558988564,"cue1.png","B","","","","","","","","hard",,41.04,19.1832835392416,0.342005678627901,-1.12439430396005,-0.0568193376119533,0.960974207418248,1.24900411084406
"46",90,"Female","TEST",1,46,46,3,120,0.688725490196078,0.75297619047619,0.34993658500025,0.81074168797954,0.395923433726156,0.831521739130435,"hard","repetition","hard","switch",11,1.18911231702077,"cue1.png","B","","","","","","","","hard",,41.04,19.1832835392416,-0.237889524562295,-1.38054505106666,0.331991591840563,-1.10779760933429,-1.56594672327861
"47",90,"Female","TEST",1,47,47,1,120,0.882352941176471,0.688725490196078,0.380877166476516,0.941176470588235,0.34993658500025,0.81074168797954,"easy","switch","hard","repetition",28,1.46016991999932,"cue2.png","B","","","","","","","","easy",,41.04,19.1832835392416,0.15227190808865,0.227293484617883,-0.253883374326422,-1.36295921861117,-0.679758497721475
"48",90,"Female","TEST",1,48,48,1,120,0.916666666666667,0.882352941176471,0.372298215737354,1,0.380877166476516,0.941176470588235,"easy","repetition","easy","switch",62,1.05182630001218,"cue2.png","B","","","","","","","","easy",,41.04,19.1832835392416,0.0440911451123323,0.952397137965813,0.140301324730423,0.2386705750037,1.0926179533928
"49",90,"Female","TEST",1,49,49,3,120,0.656862745098039,0.916666666666667,0.326062985130272,0.823529411764706,0.372298215737354,1,"hard","switch","easy","repetition",60,0.761818254977698,"cue1.png","B","","","","","","","","hard",,41.04,19.1832835392416,-0.538936159220778,-1.22291382207798,0.0310050234332359,0.960974207418248,0.988360515091961
"50",90,"Female","TEST",1,50,50,1,120,0.928571428571429,0.656862745098039,0.383559231305971,1,0.326062985130272,0.823529411764706,"easy","switch","hard","switch",23,1.12808433600003,"cue2.png","B","","","","","","","","easy",,41.04,19.1832835392416,0.186092806287529,0.952397137965813,-0.55803434147518,-1.2059366898254,-0.940402093473575
